Date,CallWall,PutWall
2026-06-26,70.0,55.0
2026-06-29,70.0,55.0
2026-06-30,57.0,50.0
2026-07-01,55.0,50.0
2026-07-02,48.5,50.0
2026-07-06,55.0,50.0
2026-07-07,55.0,50.0
2026-07-08,55.0,50.0
2026-07-09,55.0,50.0
2026-07-10,49.0,47.0
2026-07-13,65.0,47.0
2026-07-14,55.0,47.0
2026-07-15,55.0,47.0
2026-07-16,55.0,47.0
2026-07-17,55.0,45.0
2026-07-20,55.0,45.0
2026-07-21,50.0,43.0
2026-07-22,50.0,45.0
2026-07-23,50.0,45.0
2026-07-24,50.0,45.0
2026-07-27,50.0,40.0
2026-07-28,50.0,40.0
2026-07-29,50.0,40.0
2026-07-30,50.0,40.0
2026-07-31,50.0,40.0
2026-08-03,50.0,45.0
2026-08-04,50.0,45.0
2026-08-05,47.5,45.0
2026-08-06,47.5,45.0
2026-08-07,50.0,45.0
2026-08-10,50.0,45.0
2026-08-11,50.0,45.0
2026-08-12,50.0,51.0
2026-08-13,50.0,51.0
2026-08-14,50.0,48.0
2026-08-17,50.0,40.0
2026-08-18,50.0,40.0
2026-08-19,50.0,40.0
2026-08-20,50.0,40.0
2026-08-21,52.0,40.0
2026-08-24,55.0,53.0
2026-08-25,55.0,53.0
2026-08-26,55.0,53.0
2026-08-27,55.0,53.0
2026-08-28,55.0,49.0
2026-08-31,55.0,47.0
2026-09-01,55.0,40.0
2026-09-02,55.0,47.0
2026-09-03,55.0,40.0
2026-09-04,55.0,53.0
2026-09-07,50.0,53.0
2026-09-08,55.0,53.0
2026-09-09,50.0,47.0
2026-09-10,50.0,48.0
2026-09-11,55.0,48.0
2026-09-14,55.0,47.0
2026-09-15,55.0,47.0
2026-09-16,55.0,45.0
2026-09-17,55.0,47.0
2026-09-18,55.0,43.0
2026-09-21,50.0,45.0
2026-09-22,50.0,45.0
2026-09-23,50.0,45.0
2026-09-24,50.0,40.0
