Date,CallWall,PutWall
2026-06-26,280.0,275.0
2026-06-29,280.0,275.0
2026-06-30,295.0,275.0
2026-07-01,295.0,275.0
2026-07-02,310.0,270.0
2026-07-06,310.0,265.0
2026-07-07,310.0,277.5
2026-07-08,315.0,312.5
2026-07-09,320.0,307.5
2026-07-10,315.0,312.5
2026-07-13,320.0,300.0
2026-07-14,320.0,300.0
2026-07-15,325.0,300.0
2026-07-16,330.0,300.0
2026-07-17,335.0,300.0
2026-07-20,345.0,325.0
2026-07-21,330.0,315.0
2026-07-22,330.0,322.5
2026-07-23,330.0,315.0
2026-07-24,332.5,315.0
2026-07-27,335.0,315.0
2026-07-28,340.0,315.0
2026-07-29,345.0,315.0
2026-07-30,345.0,325.0
2026-07-31,345.0,300.0
2026-08-03,310.0,300.0
2026-08-04,310.0,300.0
2026-08-05,310.0,300.0
2026-08-06,310.0,300.0
2026-08-07,312.5,300.0
2026-08-10,310.0,300.0
2026-08-11,310.0,300.0
2026-08-12,310.0,300.0
2026-08-13,310.0,300.0
2026-08-14,310.0,300.0
2026-08-17,310.0,300.0
2026-08-18,310.0,300.0
2026-08-19,315.0,300.0
2026-08-20,320.0,300.0
2026-08-21,310.0,300.0
2026-08-24,320.0,300.0
2026-08-25,320.0,300.0
2026-08-26,315.0,300.0
2026-08-27,320.0,307.5
2026-08-28,320.0,307.5
2026-08-31,320.0,307.5
2026-09-01,325.0,307.5
2026-09-02,325.0,322.5
2026-09-03,330.0,300.0
2026-09-04,320.0,322.5
2026-09-08,320.0,300.0
2026-09-09,320.0,312.5
2026-09-10,330.0,300.0
2026-09-11,332.5,300.0
2026-09-14,340.0,332.5
2026-09-15,340.0,327.5
2026-09-16,335.0,315.0
2026-09-17,340.0,300.0
2026-09-18,340.0,327.5
2026-09-21,340.0,300.0
2026-09-22,340.0,327.5
2026-09-23,340.0,327.5
2026-09-24,340.0,327.5
