Date,CallWall,PutWall
2026-06-26,250.0,200.0
2026-06-29,255.0,200.0
2026-06-30,255.0,195.0
2026-07-01,255.0,225.0
2026-07-02,260.0,225.0
2026-07-06,250.0,210.0
2026-07-07,250.0,247.5
2026-07-08,250.0,245.0
2026-07-09,255.0,247.5
2026-07-10,250.0,247.5
2026-07-13,250.0,210.0
2026-07-14,250.0,210.0
2026-07-15,250.0,220.0
2026-07-16,250.0,215.0
2026-07-17,255.0,235.0
2026-07-20,250.0,220.0
2026-07-21,250.0,220.0
2026-07-22,250.0,220.0
2026-07-23,250.0,220.0
2026-07-24,260.0,220.0
2026-07-27,250.0,235.0
2026-07-28,270.0,220.0
2026-07-29,270.0,235.0
2026-07-30,250.0,220.0
2026-07-31,250.0,252.5
2026-08-03,250.0,235.0
2026-08-04,250.0,235.0
2026-08-05,250.0,235.0
2026-08-06,250.0,235.0
2026-08-07,250.0,235.0
2026-08-10,250.0,235.0
2026-08-11,250.0,220.0
2026-08-12,250.0,220.0
2026-08-13,250.0,220.0
2026-08-14,250.0,245.0
2026-08-17,250.0,220.0
2026-08-18,270.0,220.0
2026-08-19,270.0,220.0
2026-08-20,270.0,220.0
2026-08-21,270.0,220.0
2026-08-24,280.0,185.0
2026-08-25,280.0,257.5
2026-08-26,270.0,257.5
2026-08-27,270.0,257.5
2026-08-28,270.0,255.0
2026-08-31,270.0,245.0
2026-09-01,270.0,245.0
2026-09-02,270.0,245.0
2026-09-03,270.0,220.0
2026-09-04,270.0,257.5
2026-09-07,270.0,250.0
2026-09-08,270.0,245.0
2026-09-09,250.0,247.5
2026-09-10,270.0,247.5
2026-09-11,270.0,247.5
2026-09-14,270.0,245.0
2026-09-15,270.0,252.5
2026-09-16,270.0,252.5
2026-09-17,270.0,252.5
2026-09-18,270.0,240.0
2026-09-21,270.0,255.0
2026-09-22,270.0,255.0
2026-09-23,270.0,255.0
2026-09-24,270.0,255.0
