Date,CallWall,PutWall
2026-06-26,440.0,380.0
2026-06-29,405.0,407.5
2026-06-30,405.0,407.5
2026-07-01,405.0,392.5
2026-07-02,407.5,375.0
2026-07-06,410.0,380.0
2026-07-07,402.5,385.0
2026-07-08,402.5,385.0
2026-07-09,402.5,380.0
2026-07-10,402.5,385.0
2026-07-13,405.0,365.0
2026-07-14,405.0,385.0
2026-07-15,405.0,385.0
2026-07-16,405.0,385.0
2026-07-17,390.0,365.0
2026-07-20,395.0,370.0
2026-07-21,395.0,370.0
2026-07-22,397.5,370.0
2026-07-23,387.5,370.0
2026-07-24,395.0,370.0
2026-07-27,380.0,360.0
2026-07-28,380.0,360.0
2026-07-29,380.0,360.0
2026-07-30,380.0,360.0
2026-07-31,375.0,370.0
2026-08-03,375.0,357.5
2026-08-04,387.5,360.0
2026-08-05,387.5,360.0
2026-08-06,387.5,360.0
2026-08-07,387.5,390.0
2026-08-10,400.0,367.5
2026-08-11,400.0,367.5
2026-08-12,400.0,382.5
2026-08-13,390.0,382.5
2026-08-14,390.0,382.5
2026-08-17,410.0,360.0
2026-08-18,410.0,360.0
2026-08-19,380.0,370.0
2026-08-20,380.0,370.0
2026-08-21,382.5,370.0
2026-08-24,382.5,352.5
2026-08-25,382.5,362.5
2026-08-26,382.5,362.5
2026-08-27,382.5,362.5
2026-08-28,382.5,362.5
2026-08-31,362.5,355.0
2026-09-01,362.5,340.0
2026-09-02,362.5,355.0
2026-09-03,362.5,355.0
2026-09-04,362.5,355.0
2026-09-08,365.0,355.0
2026-09-09,365.0,355.0
2026-09-10,365.0,355.0
2026-09-11,375.0,340.0
2026-09-14,375.0,357.5
2026-09-15,375.0,357.5
2026-09-16,365.0,357.5
2026-09-17,365.0,357.5
2026-09-18,380.0,372.5
2026-09-21,380.0,365.0
2026-09-22,380.0,365.0
2026-09-23,380.0,365.0
2026-09-24,380.0,365.0
