Date,CallWall,PutWall
2026-06-26,75.0,70.0
2026-06-29,75.0,82.5
2026-06-30,75.0,82.5
2026-07-01,75.0,70.0
2026-07-02,75.0,82.5
2026-07-06,75.0,82.5
2026-07-07,75.0,82.5
2026-07-08,85.0,82.5
2026-07-09,85.0,82.5
2026-07-10,80.0,70.0
2026-07-13,85.0,75.0
2026-07-14,85.0,75.0
2026-07-15,85.0,77.5
2026-07-16,85.0,70.0
2026-07-17,85.0,75.0
2026-07-20,85.0,70.0
2026-07-21,85.0,70.0
2026-07-22,85.0,70.0
2026-07-23,85.0,70.0
2026-07-24,85.0,70.0
2026-07-27,85.0,70.0
2026-07-28,85.0,70.0
2026-07-29,85.0,70.0
2026-07-30,85.0,70.0
2026-07-31,85.0,70.0
2026-08-03,80.0,70.0
2026-08-04,80.0,70.0
2026-08-05,80.0,70.0
2026-08-06,80.0,70.0
2026-08-07,80.0,70.0
2026-08-10,80.0,75.0
2026-08-11,80.0,75.0
2026-08-12,80.0,75.0
2026-08-13,80.0,75.0
2026-08-14,80.0,67.5
2026-08-17,80.0,67.5
2026-08-18,85.0,67.5
2026-08-19,85.0,80.0
2026-08-20,85.0,80.0
2026-08-21,85.0,80.0
2026-08-24,80.0,67.5
2026-08-25,85.0,67.5
2026-08-26,85.0,67.5
2026-08-27,85.0,67.5
2026-08-28,85.0,75.0
2026-08-31,85.0,75.0
2026-09-01,85.0,75.0
2026-09-02,85.0,77.5
2026-09-03,85.0,77.5
2026-09-04,85.0,77.5
2026-09-07,85.0,77.5
2026-09-08,85.0,77.5
2026-09-09,85.0,77.5
2026-09-10,85.0,77.5
2026-09-11,85.0,80.0
2026-09-14,85.0,80.0
2026-09-15,85.0,80.0
2026-09-16,85.0,80.0
2026-09-17,87.5,80.0
2026-09-18,85.0,80.0
2026-09-21,90.0,80.0
2026-09-22,90.0,80.0
2026-09-23,90.0,80.0
2026-09-24,90.0,80.0
