Date,CallWall,PutWall
2026-06-26,120.0,118.0
2026-06-29,120.0,118.0
2026-06-30,120.0,110.0
2026-07-01,120.0,119.0
2026-07-02,120.0,119.0
2026-07-06,120.0,114.0
2026-07-07,120.0,114.0
2026-07-08,120.0,114.0
2026-07-09,120.0,115.0
2026-07-10,125.0,114.0
2026-07-13,125.0,114.0
2026-07-14,125.0,114.0
2026-07-15,125.0,114.0
2026-07-16,125.0,118.0
2026-07-17,125.0,116.0
2026-07-20,125.0,116.0
2026-07-21,125.0,116.0
2026-07-22,125.0,116.0
2026-07-23,125.0,116.0
2026-07-24,125.0,124.0
2026-07-27,125.0,117.0
2026-07-28,130.0,117.0
2026-07-29,130.0,117.0
2026-07-30,130.0,117.0
2026-07-31,130.0,127.0
2026-08-03,125.0,124.0
2026-08-04,125.0,124.0
2026-08-05,125.0,124.0
2026-08-06,125.0,124.0
2026-08-07,125.0,124.0
2026-08-10,125.0,118.0
2026-08-11,125.0,118.0
2026-08-12,125.0,118.0
2026-08-13,125.0,118.0
2026-08-14,125.0,110.0
2026-08-17,120.0,110.0
2026-08-18,125.0,110.0
2026-08-19,125.0,117.0
2026-08-20,125.0,117.0
2026-08-21,125.0,115.0
2026-08-24,125.0,110.0
2026-08-25,120.0,110.0
2026-08-26,125.0,110.0
2026-08-27,115.0,110.0
2026-08-28,120.0,110.0
2026-08-31,120.0,110.0
2026-09-01,120.0,110.0
2026-09-02,120.0,110.0
2026-09-03,120.0,110.0
2026-09-04,120.0,112.0
2026-09-07,120.0,115.0
2026-09-08,120.0,112.0
2026-09-09,115.0,112.0
2026-09-10,115.0,112.0
2026-09-11,125.0,112.0
2026-09-14,125.0,110.0
2026-09-15,120.0,110.0
2026-09-16,125.0,110.0
2026-09-17,125.0,116.0
2026-09-18,120.0,116.0
2026-09-21,125.0,112.0
2026-09-22,125.0,112.0
2026-09-23,125.0,112.0
2026-09-24,120.0,112.0
