Date,CallWall,PutWall
2026-06-26,180.0,135.0
2026-06-29,175.0,135.0
2026-06-30,142.0,145.0
2026-07-01,142.0,132.0
2026-07-02,135.0,132.0
2026-07-06,134.0,145.0
2026-07-07,150.0,125.0
2026-07-08,134.0,125.0
2026-07-09,134.0,125.0
2026-07-10,128.0,125.0
2026-07-13,160.0,125.0
2026-07-14,127.0,125.0
2026-07-15,127.0,125.0
2026-07-16,127.0,115.0
2026-07-17,127.0,120.0
2026-07-20,150.0,105.0
2026-07-21,131.0,105.0
2026-07-22,131.0,105.0
2026-07-23,122.0,116.0
2026-07-24,122.0,116.0
2026-07-27,118.0,105.0
2026-07-28,118.0,105.0
2026-07-29,118.0,105.0
2026-07-30,118.0,105.0
2026-07-31,118.0,105.0
2026-08-03,130.0,105.0
2026-08-04,125.0,105.0
2026-08-05,125.0,105.0
2026-08-06,125.0,105.0
2026-08-07,130.0,129.0
2026-08-10,135.0,105.0
2026-08-11,135.0,105.0
2026-08-12,135.0,105.0
2026-08-13,135.0,105.0
2026-08-14,140.0,115.0
2026-08-17,140.0,115.0
2026-08-18,140.0,125.0
2026-08-19,140.0,115.0
2026-08-20,140.0,125.0
2026-08-21,140.0,115.0
2026-08-24,140.0,135.0
2026-08-25,140.0,125.0
2026-08-26,140.0,125.0
2026-08-27,146.0,135.0
2026-08-28,147.0,135.0
2026-08-31,140.0,135.0
2026-09-01,140.0,135.0
2026-09-02,140.0,135.0
2026-09-03,140.0,135.0
2026-09-04,140.0,127.0
2026-09-07,130.0,115.0
2026-09-08,145.0,125.0
2026-09-09,132.0,125.0
2026-09-10,132.0,125.0
2026-09-11,135.0,115.0
2026-09-14,118.0,115.0
2026-09-15,118.0,115.0
2026-09-16,118.0,115.0
2026-09-17,118.0,115.0
2026-09-18,135.0,110.0
2026-09-21,110.0,120.0
2026-09-22,116.0,120.0
2026-09-23,116.0,100.0
2026-09-24,116.0,105.0
