Date,CallWall,PutWall
2026-06-26,520.0,525.0
2026-06-29,550.0,490.0
2026-06-30,600.0,490.0
2026-07-01,550.0,530.0
2026-07-02,522.5,515.0
2026-07-06,600.0,490.0
2026-07-07,515.0,490.0
2026-07-08,515.0,490.0
2026-07-09,550.0,490.0
2026-07-10,550.0,400.0
2026-07-13,570.0,537.5
2026-07-14,560.0,525.0
2026-07-15,560.0,525.0
2026-07-16,600.0,500.0
2026-07-17,600.0,500.0
2026-07-20,520.0,512.5
2026-07-21,600.0,450.0
2026-07-22,547.5,450.0
2026-07-23,550.0,450.0
2026-07-24,532.5,525.0
2026-07-27,550.0,485.0
2026-07-28,550.0,450.0
2026-07-29,500.0,400.0
2026-07-30,495.0,400.0
2026-07-31,495.0,490.0
2026-08-03,500.0,470.0
2026-08-04,500.0,470.0
2026-08-05,500.0,480.0
2026-08-06,500.0,480.0
2026-08-07,500.0,480.0
2026-08-10,500.0,475.0
2026-08-11,500.0,460.0
2026-08-12,485.0,460.0
2026-08-13,500.0,460.0
2026-08-14,507.5,400.0
2026-08-17,510.0,400.0
2026-08-18,500.0,460.0
2026-08-19,500.0,465.0
2026-08-20,500.0,460.0
2026-08-21,500.0,450.0
2026-08-24,470.0,460.0
2026-08-25,500.0,440.0
2026-08-26,500.0,440.0
2026-08-27,470.0,460.0
2026-08-28,470.0,465.0
2026-08-31,500.0,465.0
2026-09-01,470.0,450.0
2026-09-02,470.0,450.0
2026-09-03,470.0,450.0
2026-09-04,470.0,440.0
2026-09-08,500.0,440.0
2026-09-09,520.0,440.0
2026-09-10,520.0,495.0
2026-09-11,520.0,410.0
2026-09-14,530.0,495.0
2026-09-15,530.0,410.0
2026-09-16,520.0,410.0
2026-09-17,550.0,420.0
2026-09-18,550.0,542.5
2026-09-21,600.0,420.0
2026-09-22,620.0,607.5
2026-09-23,620.0,612.5
2026-09-24,640.0,612.5
