Date,CallWall,PutWall
2026-06-26,190.0,175.0
2026-06-29,190.0,175.0
2026-06-30,190.0,170.0
2026-07-01,190.0,175.0
2026-07-02,190.0,170.0
2026-07-06,190.0,160.0
2026-07-07,180.0,170.0
2026-07-08,190.0,160.0
2026-07-09,190.0,170.0
2026-07-10,190.0,160.0
2026-07-13,190.0,160.0
2026-07-14,190.0,160.0
2026-07-15,190.0,160.0
2026-07-16,190.0,170.0
2026-07-17,170.0,160.0
2026-07-20,190.0,160.0
2026-07-21,190.0,160.0
2026-07-22,190.0,160.0
2026-07-23,190.0,160.0
2026-07-24,180.0,160.0
2026-07-27,180.0,160.0
2026-07-28,180.0,160.0
2026-07-29,180.0,160.0
2026-07-30,180.0,160.0
2026-07-31,180.0,160.0
2026-08-03,180.0,160.0
2026-08-04,180.0,170.0
2026-08-05,180.0,160.0
2026-08-06,180.0,160.0
2026-08-07,180.0,160.0
2026-08-10,180.0,160.0
2026-08-11,180.0,170.0
2026-08-12,180.0,170.0
2026-08-13,180.0,170.0
2026-08-14,180.0,170.0
2026-08-17,180.0,170.0
2026-08-18,180.0,170.0
2026-08-19,180.0,170.0
2026-08-20,180.0,170.0
2026-08-21,180.0,170.0
2026-08-24,175.0,165.0
2026-08-25,175.0,170.0
2026-08-26,175.0,170.0
2026-08-27,175.0,170.0
2026-08-28,175.0,170.0
2026-08-31,175.0,170.0
2026-09-01,175.0,170.0
2026-09-02,180.0,170.0
2026-09-03,180.0,170.0
2026-09-04,180.0,170.0
2026-09-07,175.0,170.0
2026-09-08,180.0,170.0
2026-09-09,180.0,170.0
2026-09-10,180.0,170.0
2026-09-11,180.0,170.0
2026-09-14,180.0,170.0
2026-09-15,180.0,170.0
2026-09-16,180.0,170.0
2026-09-17,180.0,170.0
2026-09-18,175.0,170.0
2026-09-21,180.0,160.0
2026-09-22,180.0,160.0
2026-09-23,180.0,160.0
2026-09-24,180.0,160.0
