Date,CallWall,PutWall
2026-06-26,250.0,225.0
2026-06-29,240.0,225.0
2026-06-30,250.0,230.0
2026-07-01,245.0,230.0
2026-07-02,242.5,230.0
2026-07-06,245.0,240.0
2026-07-07,250.0,230.0
2026-07-08,250.0,242.5
2026-07-09,250.0,240.0
2026-07-10,245.0,225.0
2026-07-13,250.0,225.0
2026-07-14,250.0,225.0
2026-07-15,255.0,225.0
2026-07-16,260.0,225.0
2026-07-17,250.0,245.0
2026-07-20,260.0,225.0
2026-07-21,260.0,225.0
2026-07-22,250.0,242.5
2026-07-23,260.0,230.0
2026-07-24,260.0,232.5
2026-07-27,250.0,230.0
2026-07-28,250.0,225.0
2026-07-29,235.0,220.0
2026-07-30,250.0,220.0
2026-07-31,270.0,230.0
2026-08-03,280.0,230.0
2026-08-04,280.0,267.5
2026-08-05,280.0,267.5
2026-08-06,280.0,267.5
2026-08-07,275.0,267.5
2026-08-10,280.0,267.5
2026-08-11,280.0,267.5
2026-08-12,280.0,267.5
2026-08-13,270.0,262.5
2026-08-14,270.0,262.5
2026-08-17,270.0,260.0
2026-08-18,260.0,257.5
2026-08-19,265.0,257.5
2026-08-20,260.0,257.5
2026-08-21,260.0,257.5
2026-08-24,262.5,255.0
2026-08-25,270.0,255.0
2026-08-26,270.0,255.0
2026-08-27,270.0,255.0
2026-08-28,265.0,240.0
2026-08-31,270.0,240.0
2026-09-01,265.0,255.0
2026-09-02,257.5,252.5
2026-09-03,260.0,250.0
2026-09-04,260.0,250.0
2026-09-07,265.0,250.0
2026-09-08,265.0,250.0
2026-09-09,265.0,250.0
2026-09-10,260.0,250.0
2026-09-11,257.5,240.0
2026-09-14,260.0,240.0
2026-09-15,260.0,240.0
2026-09-16,260.0,245.0
2026-09-17,255.0,240.0
2026-09-18,255.0,240.0
2026-09-21,260.0,240.0
2026-09-22,260.0,240.0
2026-09-23,260.0,250.0
2026-09-24,255.0,245.0
