Date,CallWall,PutWall
2026-06-26,175.0,157.5
2026-06-29,175.0,162.5
2026-06-30,175.0,155.0
2026-07-01,175.0,155.0
2026-07-02,175.0,155.0
2026-07-06,170.0,155.0
2026-07-07,170.0,155.0
2026-07-08,175.0,155.0
2026-07-09,185.0,155.0
2026-07-10,185.0,150.0
2026-07-13,200.0,150.0
2026-07-14,200.0,150.0
2026-07-15,170.0,150.0
2026-07-16,170.0,150.0
2026-07-17,170.0,150.0
2026-07-20,200.0,150.0
2026-07-21,200.0,150.0
2026-07-22,200.0,150.0
2026-07-23,200.0,165.0
2026-07-24,180.0,165.0
2026-07-27,200.0,165.0
2026-07-28,180.0,165.0
2026-07-29,180.0,160.0
2026-07-30,180.0,165.0
2026-07-31,180.0,172.5
2026-08-03,200.0,155.0
2026-08-04,200.0,150.0
2026-08-05,200.0,150.0
2026-08-06,200.0,192.5
2026-08-07,190.0,187.5
2026-08-10,200.0,177.5
2026-08-11,200.0,177.5
2026-08-12,210.0,177.5
2026-08-13,210.0,177.5
2026-08-14,200.0,197.5
2026-08-17,200.0,192.5
2026-08-18,200.0,185.0
2026-08-19,190.0,185.0
2026-08-20,190.0,185.0
2026-08-21,190.0,185.0
2026-08-24,195.0,165.0
2026-08-25,195.0,165.0
2026-08-26,200.0,165.0
2026-08-27,205.0,165.0
2026-08-28,195.0,165.0
2026-08-31,200.0,165.0
2026-09-01,200.0,165.0
2026-09-02,200.0,165.0
2026-09-03,200.0,185.0
2026-09-04,195.0,187.5
2026-09-08,195.0,165.0
2026-09-09,195.0,190.0
2026-09-10,195.0,190.0
2026-09-11,200.0,175.0
2026-09-14,195.0,175.0
2026-09-15,195.0,165.0
2026-09-16,195.0,165.0
2026-09-17,195.0,192.5
2026-09-18,200.0,190.0
2026-09-21,220.0,185.0
2026-09-22,220.0,190.0
2026-09-23,210.0,190.0
2026-09-24,210.0,190.0
