Date,CallWall,PutWall
2026-06-26,34.0,32.5
2026-06-29,40.0,32.5
2026-06-30,40.0,32.5
2026-07-01,40.0,32.5
2026-07-02,40.0,32.5
2026-07-06,40.0,32.5
2026-07-07,40.0,32.5
2026-07-08,40.0,32.5
2026-07-09,35.0,32.5
2026-07-10,35.0,32.5
2026-07-13,35.0,32.5
2026-07-14,37.0,32.5
2026-07-15,37.0,32.5
2026-07-16,37.0,32.5
2026-07-17,37.0,32.5
2026-07-20,35.0,32.0
2026-07-21,37.0,32.0
2026-07-22,37.0,32.0
2026-07-23,37.0,32.0
2026-07-24,37.0,34.0
2026-07-27,38.0,35.0
2026-07-28,38.0,35.0
2026-07-29,38.0,35.0
2026-07-30,38.0,35.0
2026-07-31,38.0,36.5
2026-08-03,37.5,34.5
2026-08-04,37.5,34.5
2026-08-05,37.5,34.5
2026-08-06,37.5,34.5
2026-08-07,37.5,34.5
2026-08-10,40.0,34.5
2026-08-11,42.0,34.5
2026-08-12,40.0,34.5
2026-08-13,40.0,35.5
2026-08-14,40.0,35.0
2026-08-17,40.0,35.0
2026-08-18,40.0,35.0
2026-08-19,40.0,39.0
2026-08-20,40.0,34.5
2026-08-21,40.0,35.0
2026-08-24,40.0,35.0
2026-08-25,40.0,35.0
2026-08-26,40.0,41.0
2026-08-27,40.0,43.5
2026-08-28,40.0,42.0
2026-08-31,40.0,35.0
2026-09-01,40.0,40.5
2026-09-02,40.0,30.0
2026-09-03,45.0,41.0
2026-09-04,40.0,41.0
2026-09-07,45.0,40.0
2026-09-08,40.0,44.0
2026-09-09,45.0,42.0
2026-09-10,45.0,43.0
2026-09-11,45.0,43.0
2026-09-14,45.0,41.5
2026-09-15,47.5,41.5
2026-09-16,47.5,40.5
2026-09-17,45.0,43.0
2026-09-18,42.5,45.0
2026-09-21,45.0,43.0
2026-09-22,45.0,43.0
2026-09-23,45.0,42.0
2026-09-24,45.0,43.0
