Date,CallWall,PutWall
2026-06-26,480.0,430.0
2026-06-29,480.0,430.0
2026-06-30,550.0,470.0
2026-07-01,550.0,470.0
2026-07-02,530.0,525.0
2026-07-06,530.0,470.0
2026-07-07,530.0,470.0
2026-07-08,530.0,470.0
2026-07-09,530.0,470.0
2026-07-10,530.0,510.0
2026-07-13,530.0,430.0
2026-07-14,530.0,430.0
2026-07-15,500.0,430.0
2026-07-16,500.0,430.0
2026-07-17,530.0,430.0
2026-07-20,500.0,400.0
2026-07-21,465.0,400.0
2026-07-22,465.0,400.0
2026-07-23,430.0,400.0
2026-07-24,430.0,390.0
2026-07-27,430.0,380.0
2026-07-28,430.0,360.0
2026-07-29,430.0,360.0
2026-07-30,430.0,380.0
2026-07-31,465.0,390.0
2026-08-03,500.0,360.0
2026-08-04,410.0,350.0
2026-08-05,500.0,350.0
2026-08-06,410.0,350.0
2026-08-07,345.0,350.0
2026-08-10,335.0,350.0
2026-08-11,335.0,310.0
2026-08-12,335.0,300.0
2026-08-13,330.0,310.0
2026-08-14,320.0,300.0
2026-08-17,330.0,300.0
2026-08-18,350.0,300.0
2026-08-19,315.0,300.0
2026-08-20,315.0,300.0
2026-08-21,320.0,305.0
2026-08-24,320.0,300.0
2026-08-25,320.0,300.0
2026-08-26,320.0,300.0
2026-08-27,320.0,300.0
2026-08-28,320.0,300.0
2026-08-31,320.0,300.0
2026-09-01,320.0,300.0
2026-09-02,320.0,300.0
2026-09-03,320.0,300.0
2026-09-04,320.0,300.0
2026-09-08,320.0,300.0
2026-09-09,320.0,300.0
2026-09-10,320.0,300.0
2026-09-11,325.0,300.0
2026-09-14,350.0,300.0
2026-09-15,350.0,300.0
2026-09-16,350.0,300.0
2026-09-17,320.0,300.0
2026-09-18,320.0,312.5
2026-09-21,350.0,300.0
2026-09-22,350.0,300.0
2026-09-23,350.0,300.0
2026-09-24,320.0,300.0
