Date,CallWall,PutWall
2026-06-26,57.5,50.0
2026-06-29,57.5,50.0
2026-06-30,57.5,50.0
2026-07-01,57.5,50.0
2026-07-02,57.5,50.0
2026-07-06,55.0,50.0
2026-07-07,52.5,50.0
2026-07-08,52.5,50.0
2026-07-09,52.5,50.0
2026-07-10,52.5,50.0
2026-07-13,55.0,50.0
2026-07-14,52.5,50.0
2026-07-15,52.5,50.0
2026-07-16,52.5,50.0
2026-07-17,52.5,50.0
2026-07-20,55.0,47.5
2026-07-21,55.0,47.5
2026-07-22,55.0,47.5
2026-07-23,55.0,47.5
2026-07-24,55.0,47.5
2026-07-27,55.0,47.5
2026-07-28,55.0,50.0
2026-07-29,55.0,50.0
2026-07-30,55.0,50.0
2026-07-31,55.0,50.0
2026-08-03,55.0,50.0
2026-08-04,60.0,47.5
2026-08-05,60.0,50.0
2026-08-06,60.0,50.0
2026-08-07,60.0,50.0
2026-08-10,60.0,50.0
2026-08-11,60.0,50.0
2026-08-12,60.0,50.0
2026-08-13,60.0,50.0
2026-08-14,60.0,50.0
2026-08-17,60.0,47.5
2026-08-18,60.0,47.5
2026-08-19,60.0,50.0
2026-08-20,60.0,50.0
2026-08-21,55.0,47.5
2026-08-24,55.0,45.0
2026-08-25,55.0,45.0
2026-08-26,55.0,52.5
2026-08-27,55.0,52.5
2026-08-28,55.0,52.5
2026-08-31,55.0,52.5
2026-09-01,57.5,52.5
2026-09-02,57.5,52.5
2026-09-03,57.5,52.5
2026-09-04,55.0,52.5
2026-09-07,55.0,52.5
2026-09-08,55.0,52.5
2026-09-09,55.0,52.5
2026-09-10,55.0,50.0
2026-09-11,55.0,47.5
2026-09-14,55.0,47.5
2026-09-15,55.0,47.5
2026-09-16,55.0,52.5
2026-09-17,55.0,60.0
2026-09-18,55.0,60.0
2026-09-21,55.0,60.0
2026-09-22,55.0,60.0
2026-09-23,55.0,47.5
2026-09-24,55.0,47.5
