Date,CallWall,PutWall
2026-06-26,400.0,370.0
2026-06-29,400.0,370.0
2026-06-30,400.0,370.0
2026-07-01,400.0,370.0
2026-07-02,400.0,360.0
2026-07-06,400.0,350.0
2026-07-07,400.0,350.0
2026-07-08,400.0,370.0
2026-07-09,400.0,370.0
2026-07-10,400.0,370.0
2026-07-13,400.0,370.0
2026-07-14,400.0,380.0
2026-07-15,400.0,380.0
2026-07-16,400.0,380.0
2026-07-17,390.0,370.0
2026-07-20,390.0,380.0
2026-07-21,390.0,340.0
2026-07-22,400.0,340.0
2026-07-23,400.0,340.0
2026-07-24,410.0,380.0
2026-07-27,410.0,380.0
2026-07-28,410.0,360.0
2026-07-29,390.0,377.5
2026-07-30,395.0,340.0
2026-07-31,390.0,340.0
2026-08-03,390.0,360.0
2026-08-04,410.0,360.0
2026-08-05,420.0,360.0
2026-08-06,430.0,422.5
2026-08-07,425.0,422.5
2026-08-10,430.0,417.5
2026-08-11,430.0,417.5
2026-08-12,430.0,417.5
2026-08-13,430.0,417.5
2026-08-14,450.0,390.0
2026-08-17,395.0,370.0
2026-08-18,450.0,370.0
2026-08-19,450.0,370.0
2026-08-20,450.0,360.0
2026-08-21,367.5,365.0
2026-08-24,400.0,355.0
2026-08-25,400.0,350.0
2026-08-26,400.0,355.0
2026-08-27,380.0,350.0
2026-08-28,370.0,360.0
2026-08-31,375.0,350.0
2026-09-01,400.0,350.0
2026-09-02,400.0,350.0
2026-09-03,370.0,350.0
2026-09-04,360.0,345.0
2026-09-08,370.0,350.0
2026-09-09,380.0,350.0
2026-09-10,380.0,350.0
2026-09-11,365.0,350.0
2026-09-14,365.0,350.0
2026-09-15,365.0,340.0
2026-09-16,360.0,340.0
2026-09-17,360.0,350.0
2026-09-18,355.0,340.0
2026-09-21,365.0,340.0
2026-09-22,370.0,340.0
2026-09-23,365.0,355.0
2026-09-24,380.0,350.0
