Date,CallWall,PutWall
2026-06-26,230.0,215.0
2026-06-29,230.0,215.0
2026-06-30,230.0,210.0
2026-07-01,230.0,210.0
2026-07-02,225.0,215.0
2026-07-06,230.0,215.0
2026-07-07,230.0,215.0
2026-07-08,230.0,222.5
2026-07-09,230.0,222.5
2026-07-10,230.0,222.5
2026-07-13,230.0,215.0
2026-07-14,230.0,215.0
2026-07-15,230.0,215.0
2026-07-16,240.0,215.0
2026-07-17,240.0,215.0
2026-07-20,230.0,200.0
2026-07-21,240.0,200.0
2026-07-22,240.0,200.0
2026-07-23,240.0,200.0
2026-07-24,210.0,200.0
2026-07-27,230.0,200.0
2026-07-28,230.0,200.0
2026-07-29,215.0,200.0
2026-07-30,225.0,200.0
2026-07-31,215.0,200.0
2026-08-03,240.0,200.0
2026-08-04,240.0,215.0
2026-08-05,240.0,225.0
2026-08-06,240.0,215.0
2026-08-07,235.0,232.5
2026-08-10,240.0,225.0
2026-08-11,240.0,225.0
2026-08-12,240.0,227.5
2026-08-13,240.0,225.0
2026-08-14,240.0,215.0
2026-08-17,240.0,215.0
2026-08-18,230.0,215.0
2026-08-19,230.0,215.0
2026-08-20,240.0,215.0
2026-08-21,240.0,215.0
2026-08-24,250.0,215.0
2026-08-25,220.0,205.0
2026-08-26,220.0,210.0
2026-08-27,220.0,205.0
2026-08-28,225.0,205.0
2026-08-31,212.5,210.0
2026-09-01,212.5,210.0
2026-09-02,212.5,210.0
2026-09-03,212.5,210.0
2026-09-04,212.5,205.0
2026-09-07,220.0,215.0
2026-09-08,220.0,210.0
2026-09-09,220.0,205.0
2026-09-10,220.0,205.0
2026-09-11,220.0,200.0
2026-09-14,220.0,200.0
2026-09-15,220.0,210.0
2026-09-16,215.0,200.0
2026-09-17,205.0,200.0
2026-09-18,205.0,200.0
2026-09-21,205.0,200.0
2026-09-22,205.0,200.0
2026-09-23,205.0,195.0
2026-09-24,205.0,195.0
