Date,CallWall,PutWall
2026-06-26,58.0,57.0
2026-06-29,60.0,57.0
2026-06-30,60.0,57.0
2026-07-01,59.0,57.0
2026-07-02,59.0,58.0
2026-07-06,60.0,57.0
2026-07-07,60.0,57.0
2026-07-08,60.0,57.0
2026-07-09,60.0,57.0
2026-07-10,60.0,59.0
2026-07-13,60.0,57.0
2026-07-14,60.0,57.0
2026-07-15,60.0,57.0
2026-07-16,62.0,55.0
2026-07-17,61.0,59.0
2026-07-20,62.0,59.0
2026-07-21,62.0,59.0
2026-07-22,62.0,61.0
2026-07-23,62.0,61.0
2026-07-24,62.0,61.0
2026-07-27,62.0,59.0
2026-07-28,62.0,59.0
2026-07-29,62.0,59.0
2026-07-30,62.0,61.0
2026-07-31,62.0,61.0
2026-08-03,63.0,61.0
2026-08-04,63.0,61.0
2026-08-05,65.0,61.0
2026-08-06,63.0,61.0
2026-08-07,63.0,62.0
2026-08-10,65.0,61.0
2026-08-11,65.0,61.0
2026-08-12,65.0,60.0
2026-08-13,65.0,63.0
2026-08-14,65.0,64.0
2026-08-17,65.0,57.5
2026-08-18,65.0,64.0
2026-08-19,65.0,63.0
2026-08-20,65.0,61.0
2026-08-21,65.0,61.0
2026-08-24,65.0,61.0
2026-08-25,65.0,61.0
2026-08-26,65.0,61.0
2026-08-27,65.0,61.0
2026-08-28,63.0,62.0
2026-08-31,65.0,61.0
2026-09-01,65.0,57.5
2026-09-02,63.0,61.0
2026-09-03,63.0,61.0
2026-09-04,63.0,62.0
2026-09-07,65.0,57.5
2026-09-08,65.0,57.5
2026-09-09,65.0,61.0
2026-09-10,65.0,61.0
2026-09-11,63.0,57.5
2026-09-14,65.0,57.5
2026-09-15,65.0,57.5
2026-09-16,60.0,57.5
2026-09-17,60.0,57.5
2026-09-18,60.0,57.5
2026-09-21,60.0,57.5
2026-09-22,60.0,55.0
2026-09-23,58.0,55.0
2026-09-24,60.0,55.0
