Date,CallWall,PutWall
2026-06-26,82.5,74.0
2026-06-29,82.5,77.0
2026-06-30,72.5,76.0
2026-07-01,82.5,70.0
2026-07-02,82.5,77.0
2026-07-06,82.5,77.0
2026-07-07,82.5,77.0
2026-07-08,82.5,77.0
2026-07-09,82.5,77.0
2026-07-10,82.5,76.0
2026-07-13,80.0,67.5
2026-07-14,80.0,70.0
2026-07-15,85.0,75.0
2026-07-16,85.0,86.0
2026-07-17,85.0,86.0
2026-07-20,90.0,85.0
2026-07-21,90.0,85.0
2026-07-22,90.0,85.0
2026-07-23,90.0,85.0
2026-07-24,90.0,85.0
2026-07-27,90.0,80.0
2026-07-28,90.0,80.0
2026-07-29,90.0,80.0
2026-07-30,90.0,80.0
2026-07-31,90.0,86.0
2026-08-03,90.0,80.0
2026-08-04,90.0,80.0
2026-08-05,90.0,80.0
2026-08-06,85.0,80.0
2026-08-07,84.0,80.0
2026-08-10,85.0,80.0
2026-08-11,85.0,80.0
2026-08-12,85.0,80.0
2026-08-13,85.0,80.0
2026-08-14,90.0,80.0
2026-08-17,85.0,80.0
2026-08-18,90.0,80.0
2026-08-19,90.0,80.0
2026-08-20,90.0,80.0
2026-08-21,95.0,80.0
2026-08-24,95.0,80.0
2026-08-25,95.0,80.0
2026-08-26,95.0,80.0
2026-08-27,95.0,80.0
2026-08-28,82.5,83.0
2026-08-31,82.5,80.0
2026-09-01,82.5,80.0
2026-09-02,95.0,80.0
2026-09-03,95.0,80.0
2026-09-04,95.0,80.0
2026-09-07,95.0,80.0
2026-09-08,95.0,85.0
2026-09-09,95.0,85.0
2026-09-10,95.0,85.0
2026-09-11,90.0,85.0
2026-09-14,95.0,85.0
2026-09-15,95.0,85.0
2026-09-16,95.0,85.0
2026-09-17,95.0,85.0
2026-09-18,95.0,85.0
2026-09-21,87.5,85.0
2026-09-22,87.5,85.0
2026-09-23,87.5,85.0
2026-09-24,87.5,85.0
