Date,CallWall,PutWall
2026-06-26,160.0,140.0
2026-06-29,160.0,150.0
2026-06-30,160.0,172.5
2026-07-01,160.0,177.5
2026-07-02,160.0,177.5
2026-07-06,160.0,175.0
2026-07-07,160.0,175.0
2026-07-08,160.0,175.0
2026-07-09,160.0,175.0
2026-07-10,160.0,177.5
2026-07-13,160.0,175.0
2026-07-14,160.0,175.0
2026-07-15,185.0,160.0
2026-07-16,185.0,175.0
2026-07-17,185.0,180.0
2026-07-20,187.5,175.0
2026-07-21,182.5,175.0
2026-07-22,182.5,175.0
2026-07-23,190.0,175.0
2026-07-24,182.5,175.0
2026-07-27,195.0,175.0
2026-07-28,200.0,175.0
2026-07-29,200.0,175.0
2026-07-30,200.0,175.0
2026-07-31,195.0,175.0
2026-08-03,200.0,185.0
2026-08-04,200.0,185.0
2026-08-05,200.0,185.0
2026-08-06,215.0,185.0
2026-08-07,215.0,185.0
2026-08-10,210.0,207.5
2026-08-11,210.0,207.5
2026-08-12,210.0,195.0
2026-08-13,210.0,195.0
2026-08-14,215.0,212.0
2026-08-17,210.0,205.0
2026-08-18,210.0,205.0
2026-08-19,220.0,205.0
2026-08-20,210.0,205.0
2026-08-21,210.0,205.0
2026-08-24,215.0,205.0
2026-08-25,234.0,205.0
2026-08-26,234.0,210.0
2026-08-27,234.0,205.0
2026-08-28,210.0,205.0
2026-08-31,204.0,200.0
2026-09-01,204.0,200.0
2026-09-02,204.0,200.0
2026-09-03,204.0,195.0
2026-09-04,204.0,195.0
2026-09-07,204.0,195.0
2026-09-08,200.0,180.0
2026-09-09,176.0,175.0
2026-09-10,190.0,175.0
2026-09-11,162.4,170.0
2026-09-14,162.4,175.0
2026-09-15,162.4,170.0
2026-09-16,162.4,170.0
2026-09-17,162.4,170.0
2026-09-18,162.4,170.0
2026-09-21,162.4,170.0
2026-09-22,162.4,155.0
2026-09-23,162.4,155.0
2026-09-24,162.4,155.0
