Date,CallWall,PutWall
2026-06-26,57.5,56.0
2026-06-29,57.5,55.0
2026-06-30,57.5,62.0
2026-07-01,57.5,52.5
2026-07-02,57.5,62.0
2026-07-06,57.5,56.0
2026-07-07,57.5,56.0
2026-07-08,57.5,56.0
2026-07-09,57.5,56.0
2026-07-10,57.5,56.0
2026-07-13,62.5,52.5
2026-07-14,57.5,52.5
2026-07-15,57.5,57.0
2026-07-16,60.0,55.0
2026-07-17,62.5,57.0
2026-07-20,62.5,55.0
2026-07-21,62.5,55.0
2026-07-22,62.5,55.0
2026-07-23,62.5,55.0
2026-07-24,62.0,55.0
2026-07-27,62.5,55.0
2026-07-28,62.5,55.0
2026-07-29,62.5,55.0
2026-07-30,62.5,56.0
2026-07-31,66.0,61.0
2026-08-03,62.5,61.0
2026-08-04,65.0,61.0
2026-08-05,65.0,61.0
2026-08-06,65.0,61.0
2026-08-07,65.0,61.0
2026-08-10,65.0,61.0
2026-08-11,65.0,61.0
2026-08-12,65.0,61.0
2026-08-13,65.0,61.0
2026-08-14,65.0,61.0
2026-08-17,65.0,61.0
2026-08-18,65.0,61.0
2026-08-19,70.0,62.5
2026-08-20,65.0,62.5
2026-08-21,70.0,62.5
2026-08-24,70.0,62.5
2026-08-25,70.0,62.5
2026-08-26,70.0,62.5
2026-08-27,70.0,62.5
2026-08-28,70.0,62.5
2026-08-31,70.0,62.5
2026-09-01,70.0,62.5
2026-09-02,70.0,62.5
2026-09-03,70.0,62.5
2026-09-04,70.0,62.5
2026-09-07,70.0,62.5
2026-09-08,67.5,62.5
2026-09-09,67.5,62.5
2026-09-10,65.0,62.5
2026-09-11,65.0,62.5
2026-09-14,65.0,62.5
2026-09-15,65.0,62.5
2026-09-16,65.0,62.5
2026-09-17,65.0,62.5
2026-09-18,65.0,62.5
2026-09-21,67.5,63.0
2026-09-22,64.0,63.0
2026-09-23,64.0,62.0
2026-09-24,64.0,60.0
