Date,CallWall,PutWall
2026-06-26,495.0,480.0
2026-06-29,500.0,480.0
2026-06-30,500.0,485.0
2026-07-01,500.0,480.0
2026-07-02,505.0,480.0
2026-07-06,500.0,460.0
2026-07-07,500.0,502.5
2026-07-08,500.0,485.0
2026-07-09,500.0,485.0
2026-07-10,500.0,480.0
2026-07-13,500.0,480.0
2026-07-14,500.0,480.0
2026-07-15,500.0,480.0
2026-07-16,490.0,480.0
2026-07-17,490.0,485.0
2026-07-20,500.0,480.0
2026-07-21,500.0,480.0
2026-07-22,500.0,480.0
2026-07-23,500.0,480.0
2026-07-24,492.5,480.0
2026-07-27,500.0,480.0
2026-07-28,500.0,480.0
2026-07-29,500.0,480.0
2026-07-30,500.0,480.0
2026-07-31,500.0,480.0
2026-08-03,500.0,480.0
2026-08-04,520.0,480.0
2026-08-05,520.0,480.0
2026-08-06,520.0,480.0
2026-08-07,520.0,480.0
2026-08-10,530.0,507.5
2026-08-11,525.0,507.5
2026-08-12,500.0,507.5
2026-08-13,500.0,507.5
2026-08-14,500.0,507.5
2026-08-17,500.0,502.5
2026-08-18,500.0,502.5
2026-08-19,500.0,502.5
2026-08-20,500.0,502.5
2026-08-21,500.0,497.5
2026-08-24,507.5,490.0
2026-08-25,507.5,490.0
2026-08-26,507.5,490.0
2026-08-27,502.5,490.0
2026-08-28,505.0,490.0
2026-08-31,510.0,495.0
2026-09-01,510.0,495.0
2026-09-02,510.0,495.0
2026-09-03,510.0,495.0
2026-09-04,510.0,505.0
2026-09-07,510.0,490.0
2026-09-08,510.0,495.0
2026-09-09,510.0,495.0
2026-09-10,510.0,502.5
2026-09-11,510.0,495.0
2026-09-14,515.0,495.0
2026-09-15,515.0,495.0
2026-09-16,520.0,495.0
2026-09-17,510.0,512.5
2026-09-18,510.0,517.5
2026-09-21,520.0,512.5
2026-09-22,515.0,500.0
2026-09-23,515.0,512.5
2026-09-24,510.0,500.0
