Date,CallWall,PutWall
2026-06-26,45.5,44.0
2026-06-29,45.5,44.0
2026-06-30,50.0,43.0
2026-07-01,45.5,43.0
2026-07-02,45.5,45.0
2026-07-06,47.5,43.0
2026-07-07,47.5,43.0
2026-07-08,50.0,43.5
2026-07-09,50.0,43.5
2026-07-10,55.0,43.5
2026-07-13,55.0,43.0
2026-07-14,55.0,43.0
2026-07-15,55.0,43.0
2026-07-16,55.0,45.0
2026-07-17,55.0,43.0
2026-07-20,45.0,43.0
2026-07-21,45.0,43.0
2026-07-22,45.0,43.0
2026-07-23,45.0,43.0
2026-07-24,45.0,43.0
2026-07-27,55.0,40.0
2026-07-28,55.0,40.0
2026-07-29,46.5,40.0
2026-07-30,50.0,40.0
2026-07-31,46.5,40.0
2026-08-03,50.0,40.0
2026-08-04,50.0,45.0
2026-08-05,50.0,45.5
2026-08-06,50.0,40.0
2026-08-07,50.0,46.0
2026-08-10,50.0,46.0
2026-08-11,50.0,46.0
2026-08-12,50.0,46.0
2026-08-13,50.0,46.0
2026-08-14,55.0,40.0
2026-08-17,55.0,40.0
2026-08-18,50.0,40.0
2026-08-19,55.0,40.0
2026-08-20,50.0,40.0
2026-08-21,50.0,49.5
2026-08-24,55.0,45.0
2026-08-25,55.0,45.0
2026-08-26,55.0,45.0
2026-08-27,55.0,47.0
2026-08-28,55.0,47.0
2026-08-31,55.0,46.0
2026-09-01,55.0,46.0
2026-09-02,55.0,45.0
2026-09-03,55.0,47.0
2026-09-04,48.0,47.0
2026-09-07,55.0,47.0
2026-09-08,55.0,47.0
2026-09-09,55.0,45.0
2026-09-10,55.0,45.0
2026-09-11,55.0,40.0
2026-09-14,50.0,45.0
2026-09-15,50.0,45.0
2026-09-16,50.0,45.0
2026-09-17,50.0,40.0
2026-09-18,50.0,40.0
2026-09-21,50.0,40.0
2026-09-22,50.0,40.0
2026-09-23,44.5,40.0
2026-09-24,44.5,40.0
