Date,CallWall,PutWall
2026-06-26,150.0,144.0
2026-06-29,150.0,138.0
2026-06-30,150.0,138.0
2026-07-01,145.0,138.0
2026-07-02,145.0,138.0
2026-07-06,145.0,138.0
2026-07-07,145.0,138.0
2026-07-08,145.0,138.0
2026-07-09,145.0,138.0
2026-07-10,145.0,138.0
2026-07-13,145.0,138.0
2026-07-14,145.0,138.0
2026-07-15,140.0,134.0
2026-07-16,135.0,125.0
2026-07-17,130.0,120.0
2026-07-20,140.0,120.0
2026-07-21,145.0,120.0
2026-07-22,140.0,120.0
2026-07-23,132.0,120.0
2026-07-24,132.0,120.0
2026-07-27,140.0,120.0
2026-07-28,140.0,120.0
2026-07-29,140.0,120.0
2026-07-30,140.0,120.0
2026-07-31,140.0,120.0
2026-08-03,140.0,130.0
2026-08-04,140.0,130.0
2026-08-05,140.0,130.0
2026-08-06,140.0,130.0
2026-08-07,135.0,130.0
2026-08-10,140.0,130.0
2026-08-11,140.0,130.0
2026-08-12,140.0,130.0
2026-08-13,140.0,130.0
2026-08-14,140.0,130.0
2026-08-17,140.0,130.0
2026-08-18,140.0,130.0
2026-08-19,140.0,130.0
2026-08-20,140.0,130.0
2026-08-21,132.0,130.0
2026-08-24,140.0,125.0
2026-08-25,140.0,125.0
2026-08-26,140.0,125.0
2026-08-27,133.0,130.0
2026-08-28,133.0,125.0
2026-08-31,140.0,130.0
2026-09-01,136.0,130.0
2026-09-02,136.0,130.0
2026-09-03,140.0,130.0
2026-09-04,138.0,137.0
2026-09-07,140.0,130.0
2026-09-08,140.0,130.0
2026-09-09,140.0,130.0
2026-09-10,140.0,125.0
2026-09-11,139.0,125.0
2026-09-14,140.0,125.0
2026-09-15,140.0,125.0
2026-09-16,140.0,125.0
2026-09-17,140.0,120.0
2026-09-18,135.0,120.0
2026-09-21,145.0,120.0
2026-09-22,145.0,120.0
2026-09-23,140.0,120.0
2026-09-24,140.0,120.0
