Date,CallWall,PutWall
2026-06-26,75.0,57.0
2026-06-29,75.0,57.0
2026-06-30,75.0,57.0
2026-07-01,75.0,57.0
2026-07-02,75.0,70.0
2026-07-06,75.0,57.0
2026-07-07,75.0,57.0
2026-07-08,75.0,57.0
2026-07-09,75.0,57.0
2026-07-10,75.0,67.5
2026-07-13,75.0,67.5
2026-07-14,75.0,67.5
2026-07-15,75.0,67.5
2026-07-16,70.0,67.5
2026-07-17,75.0,67.5
2026-07-20,73.0,55.0
2026-07-21,73.0,65.0
2026-07-22,73.0,65.0
2026-07-23,75.0,65.0
2026-07-24,75.0,65.0
2026-07-27,75.0,65.0
2026-07-28,75.0,65.0
2026-07-29,75.0,57.0
2026-07-30,75.0,57.0
2026-07-31,75.0,57.0
2026-08-03,61.0,57.0
2026-08-04,67.0,57.0
2026-08-05,67.0,57.0
2026-08-06,75.0,57.0
2026-08-07,75.0,57.0
2026-08-10,75.0,57.0
2026-08-11,75.0,57.0
2026-08-12,75.0,57.0
2026-08-13,64.0,57.0
2026-08-14,75.0,57.0
2026-08-17,75.0,57.0
2026-08-18,75.0,57.0
2026-08-19,75.0,57.0
2026-08-20,75.0,57.0
2026-08-21,75.0,57.0
2026-08-24,75.0,56.0
2026-08-25,75.0,56.0
2026-08-26,60.0,56.0
2026-08-27,60.0,56.0
2026-08-28,60.0,56.0
2026-08-31,60.0,56.0
2026-09-01,60.0,56.0
2026-09-02,60.0,56.0
2026-09-03,60.0,56.0
2026-09-04,60.0,56.0
2026-09-07,60.0,56.0
2026-09-08,60.0,56.0
2026-09-09,60.0,56.0
2026-09-10,60.0,56.0
2026-09-11,60.0,55.0
2026-09-14,60.0,55.0
2026-09-15,60.0,55.0
2026-09-16,60.0,55.0
2026-09-17,60.0,55.0
2026-09-18,60.0,55.0
2026-09-21,61.0,55.0
2026-09-22,61.0,55.0
2026-09-23,61.0,55.0
2026-09-24,57.0,55.0
