Date,CallWall,PutWall
2026-06-26,1020.0,1015.0
2026-06-29,1050.0,990.0
2026-06-30,1050.0,1030.0
2026-07-01,1080.0,990.0
2026-07-02,1020.0,965.0
2026-07-06,1020.0,980.0
2026-07-07,940.0,930.0
2026-07-08,977.5,930.0
2026-07-09,977.5,930.0
2026-07-10,1050.0,950.0
2026-07-13,1000.0,900.0
2026-07-14,1000.0,920.0
2026-07-15,1000.0,920.0
2026-07-16,1000.0,870.0
2026-07-17,1000.0,880.0
2026-07-20,1000.0,845.0
2026-07-21,1000.0,840.0
2026-07-22,905.0,840.0
2026-07-23,905.0,875.0
2026-07-24,950.0,875.0
2026-07-27,925.0,840.0
2026-07-28,925.0,830.0
2026-07-29,925.0,830.0
2026-07-30,925.0,820.0
2026-07-31,850.0,820.0
2026-08-03,925.0,800.0
2026-08-04,900.0,840.0
2026-08-05,900.0,920.0
2026-08-06,860.0,840.0
2026-08-07,855.0,840.0
2026-08-10,835.0,800.0
2026-08-11,835.0,800.0
2026-08-12,835.0,820.0
2026-08-13,860.0,820.0
2026-08-14,860.0,840.0
2026-08-17,970.0,840.0
2026-08-18,920.0,820.0
2026-08-19,970.0,800.0
2026-08-20,920.0,800.0
2026-08-21,835.0,820.0
2026-08-24,920.0,790.0
2026-08-25,850.0,790.0
2026-08-26,850.0,810.0
2026-08-27,830.0,810.0
2026-08-28,830.0,800.0
2026-08-31,830.0,780.0
2026-09-01,830.0,780.0
2026-09-02,830.0,780.0
2026-09-03,830.0,780.0
2026-09-04,830.0,810.0
2026-09-07,850.0,790.0
2026-09-08,850.0,790.0
2026-09-09,850.0,790.0
2026-09-10,825.0,790.0
2026-09-11,825.0,770.0
2026-09-14,825.0,790.0
2026-09-15,850.0,790.0
2026-09-16,850.0,790.0
2026-09-17,830.0,790.0
2026-09-18,810.0,790.0
2026-09-21,815.0,750.0
2026-09-22,815.0,750.0
2026-09-23,815.0,750.0
2026-09-24,815.0,750.0
