Date,CallWall,PutWall
2026-06-26,140.0,135.0
2026-06-29,140.0,135.0
2026-06-30,140.0,135.0
2026-07-01,140.0,135.0
2026-07-02,140.0,135.0
2026-07-06,140.0,135.0
2026-07-07,140.0,135.0
2026-07-08,140.0,135.0
2026-07-09,140.0,135.0
2026-07-10,145.0,135.0
2026-07-13,145.0,135.0
2026-07-14,140.0,135.0
2026-07-15,145.0,135.0
2026-07-16,140.0,135.0
2026-07-17,140.0,135.0
2026-07-20,150.0,120.0
2026-07-21,150.0,120.0
2026-07-22,150.0,120.0
2026-07-23,140.0,120.0
2026-07-24,140.0,120.0
2026-07-27,140.0,120.0
2026-07-28,140.0,120.0
2026-07-29,150.0,155.0
2026-07-30,150.0,155.0
2026-07-31,150.0,120.0
2026-08-03,150.0,120.0
2026-08-04,150.0,120.0
2026-08-05,150.0,120.0
2026-08-06,150.0,120.0
2026-08-07,150.0,120.0
2026-08-10,150.0,120.0
2026-08-11,150.0,120.0
2026-08-12,150.0,120.0
2026-08-13,150.0,120.0
2026-08-14,150.0,130.0
2026-08-17,150.0,130.0
2026-08-18,150.0,130.0
2026-08-19,150.0,130.0
2026-08-20,150.0,130.0
2026-08-21,150.0,130.0
2026-08-24,150.0,130.0
2026-08-25,150.0,130.0
2026-08-26,150.0,130.0
2026-08-27,150.0,130.0
2026-08-28,150.0,130.0
2026-08-31,150.0,130.0
2026-09-01,150.0,130.0
2026-09-02,150.0,130.0
2026-09-03,150.0,130.0
2026-09-04,150.0,130.0
2026-09-07,150.0,130.0
2026-09-08,150.0,130.0
2026-09-09,150.0,130.0
2026-09-10,150.0,130.0
2026-09-11,150.0,130.0
2026-09-14,150.0,130.0
2026-09-15,150.0,130.0
2026-09-16,150.0,130.0
2026-09-17,150.0,130.0
2026-09-18,140.0,130.0
2026-09-21,160.0,145.0
2026-09-22,150.0,145.0
2026-09-23,150.0,135.0
2026-09-24,150.0,135.0
