Date,CallWall,PutWall
2026-06-26,90.0,82.5
2026-06-29,85.0,82.5
2026-06-30,90.0,72.5
2026-07-01,90.0,80.0
2026-07-02,85.0,80.0
2026-07-06,77.5,75.0
2026-07-07,77.5,80.0
2026-07-08,77.5,75.0
2026-07-09,77.5,75.0
2026-07-10,77.5,82.5
2026-07-13,77.5,82.5
2026-07-14,77.5,82.5
2026-07-15,77.5,82.5
2026-07-16,80.0,82.5
2026-07-17,85.0,82.5
2026-07-20,85.0,72.5
2026-07-21,85.0,72.5
2026-07-22,80.0,75.0
2026-07-23,77.5,75.0
2026-07-24,77.5,75.0
2026-07-27,77.5,75.0
2026-07-28,77.5,75.0
2026-07-29,77.5,75.0
2026-07-30,77.5,75.0
2026-07-31,77.5,75.0
2026-08-03,77.5,75.0
2026-08-04,80.0,75.0
2026-08-05,77.5,75.0
2026-08-06,80.0,75.0
2026-08-07,80.0,75.0
2026-08-10,77.5,75.0
2026-08-11,77.5,75.0
2026-08-12,77.5,75.0
2026-08-13,77.5,75.0
2026-08-14,77.5,75.0
2026-08-17,77.5,75.0
2026-08-18,77.5,75.0
2026-08-19,77.5,75.0
2026-08-20,77.5,75.0
2026-08-21,77.5,75.0
2026-08-24,77.5,75.0
2026-08-25,77.5,75.0
2026-08-26,77.5,75.0
2026-08-27,77.5,75.0
2026-08-28,77.5,75.0
2026-08-31,75.0,70.0
2026-09-01,75.0,70.0
2026-09-02,75.0,70.0
2026-09-03,75.0,70.0
2026-09-04,75.0,70.0
2026-09-07,77.5,75.0
2026-09-08,75.0,70.0
2026-09-09,75.0,70.0
2026-09-10,75.0,70.0
2026-09-11,75.0,70.0
2026-09-14,75.0,70.0
2026-09-15,75.0,70.0
2026-09-16,75.0,72.5
2026-09-17,75.0,70.0
2026-09-18,75.0,72.5
2026-09-21,80.0,70.0
2026-09-22,80.0,70.0
2026-09-23,77.5,70.0
2026-09-24,75.0,70.0
