Date,CallWall,PutWall
2026-06-26,32.0,26.0
2026-06-29,32.0,26.0
2026-06-30,32.0,26.0
2026-07-01,32.0,26.0
2026-07-02,28.5,26.0
2026-07-06,28.5,26.0
2026-07-07,29.0,26.0
2026-07-08,28.5,25.0
2026-07-09,30.0,26.0
2026-07-10,30.0,26.0
2026-07-13,28.0,26.0
2026-07-14,32.0,26.0
2026-07-15,32.0,26.0
2026-07-16,32.0,26.0
2026-07-17,32.0,26.0
2026-07-20,32.0,25.0
2026-07-21,32.0,25.0
2026-07-22,32.0,25.0
2026-07-23,28.0,25.0
2026-07-24,26.5,25.0
2026-07-27,32.0,24.5
2026-07-28,28.0,24.5
2026-07-29,27.5,24.5
2026-07-30,27.5,24.5
2026-07-31,27.5,27.0
2026-08-03,32.0,24.5
2026-08-04,32.0,24.5
2026-08-05,30.0,24.5
2026-08-06,30.0,24.5
2026-08-07,30.0,29.0
2026-08-10,30.0,27.5
2026-08-11,30.0,27.5
2026-08-12,30.0,27.5
2026-08-13,28.5,27.5
2026-08-14,28.5,26.0
2026-08-17,30.0,26.0
2026-08-18,30.0,26.0
2026-08-19,30.0,26.0
2026-08-20,30.0,26.0
2026-08-21,30.0,26.0
2026-08-24,30.0,26.0
2026-08-25,30.0,26.0
2026-08-26,26.5,26.0
2026-08-27,30.0,26.0
2026-08-28,30.0,26.0
2026-08-31,28.0,24.0
2026-09-01,28.0,24.0
2026-09-02,30.0,24.0
2026-09-03,30.0,24.0
2026-09-04,28.0,23.5
2026-09-07,30.0,24.0
2026-09-08,27.0,24.0
2026-09-09,30.0,24.0
2026-09-10,25.0,24.0
2026-09-11,25.0,24.0
2026-09-14,23.5,24.0
2026-09-15,23.5,22.0
2026-09-16,25.0,22.0
2026-09-17,24.0,22.0
2026-09-18,22.5,22.0
2026-09-21,23.0,21.5
2026-09-22,23.0,22.0
2026-09-23,23.0,21.5
2026-09-24,23.0,21.5
