Date,CallWall,PutWall
2026-06-26,265.0,260.0
2026-06-29,300.0,250.0
2026-06-30,300.0,250.0
2026-07-01,275.0,240.0
2026-07-02,290.0,240.0
2026-07-06,280.0,240.0
2026-07-07,275.0,230.0
2026-07-08,280.0,230.0
2026-07-09,247.5,230.0
2026-07-10,255.0,240.0
2026-07-13,280.0,240.0
2026-07-14,300.0,240.0
2026-07-15,300.0,240.0
2026-07-16,255.0,240.0
2026-07-17,260.0,250.0
2026-07-20,300.0,240.0
2026-07-21,300.0,240.0
2026-07-22,280.0,240.0
2026-07-23,280.0,240.0
2026-07-24,275.0,230.0
2026-07-27,300.0,230.0
2026-07-28,300.0,230.0
2026-07-29,300.0,230.0
2026-07-30,300.0,230.0
2026-07-31,300.0,230.0
2026-08-03,300.0,270.0
2026-08-04,300.0,270.0
2026-08-05,300.0,240.0
2026-08-06,300.0,260.0
2026-08-07,270.0,260.0
2026-08-10,300.0,270.0
2026-08-11,300.0,270.0
2026-08-12,300.0,270.0
2026-08-13,300.0,270.0
2026-08-14,285.0,260.0
2026-08-17,280.0,260.0
2026-08-18,280.0,260.0
2026-08-19,280.0,270.0
2026-08-20,280.0,270.0
2026-08-21,280.0,270.0
2026-08-24,280.0,260.0
2026-08-25,280.0,260.0
2026-08-26,280.0,260.0
2026-08-27,280.0,260.0
2026-08-28,280.0,260.0
2026-08-31,280.0,260.0
2026-09-01,280.0,260.0
2026-09-02,300.0,260.0
2026-09-03,280.0,260.0
2026-09-04,300.0,260.0
2026-09-07,320.0,260.0
2026-09-08,320.0,260.0
2026-09-09,300.0,260.0
2026-09-10,300.0,260.0
2026-09-11,300.0,260.0
2026-09-14,280.0,260.0
2026-09-15,300.0,260.0
2026-09-16,290.0,260.0
2026-09-17,267.5,260.0
2026-09-18,280.0,260.0
2026-09-21,300.0,250.0
2026-09-22,275.0,250.0
2026-09-23,275.0,250.0
2026-09-24,275.0,250.0
