Date,CallWall,PutWall
2026-06-26,110.0,100.0
2026-06-29,110.0,100.0
2026-06-30,108.0,100.0
2026-07-01,110.0,100.0
2026-07-02,110.0,100.0
2026-07-06,110.0,100.0
2026-07-07,110.0,100.0
2026-07-08,115.0,100.0
2026-07-09,115.0,100.0
2026-07-10,115.0,92.5
2026-07-13,115.0,92.5
2026-07-14,125.0,92.5
2026-07-15,115.0,92.5
2026-07-16,120.0,92.5
2026-07-17,125.0,92.5
2026-07-20,125.0,92.5
2026-07-21,125.0,120.0
2026-07-22,125.0,120.0
2026-07-23,125.0,120.0
2026-07-24,125.0,105.0
2026-07-27,125.0,105.0
2026-07-28,125.0,105.0
2026-07-29,130.0,105.0
2026-07-30,125.0,105.0
2026-07-31,125.0,105.0
2026-08-03,130.0,105.0
2026-08-04,115.0,105.0
2026-08-05,115.0,105.0
2026-08-06,115.0,105.0
2026-08-07,117.0,105.0
2026-08-10,115.0,105.0
2026-08-11,115.0,92.5
2026-08-12,115.0,92.5
2026-08-13,115.0,92.5
2026-08-14,119.0,110.0
2026-08-17,125.0,110.0
2026-08-18,125.0,110.0
2026-08-19,125.0,110.0
2026-08-20,130.0,110.0
2026-08-21,130.0,110.0
2026-08-24,120.0,110.0
2026-08-25,120.0,110.0
2026-08-26,120.0,110.0
2026-08-27,120.0,110.0
2026-08-28,120.0,110.0
2026-08-31,120.0,110.0
2026-09-01,140.0,110.0
2026-09-02,140.0,125.0
2026-09-03,140.0,125.0
2026-09-04,140.0,125.0
2026-09-07,140.0,125.0
2026-09-08,140.0,125.0
2026-09-09,140.0,125.0
2026-09-10,140.0,125.0
2026-09-11,140.0,125.0
2026-09-14,140.0,125.0
2026-09-15,140.0,125.0
2026-09-16,140.0,125.0
2026-09-17,140.0,125.0
2026-09-18,140.0,125.0
2026-09-21,140.0,115.0
2026-09-22,140.0,115.0
2026-09-23,140.0,115.0
2026-09-24,140.0,115.0
