Date,CallWall,PutWall
2026-06-26,145.0,115.0
2026-06-29,145.0,130.0
2026-06-30,145.0,115.0
2026-07-01,145.0,135.0
2026-07-02,145.0,115.0
2026-07-06,145.0,115.0
2026-07-07,145.0,130.0
2026-07-08,145.0,115.0
2026-07-09,145.0,130.0
2026-07-10,145.0,130.0
2026-07-13,145.0,130.0
2026-07-14,145.0,130.0
2026-07-15,145.0,130.0
2026-07-16,145.0,130.0
2026-07-17,145.0,130.0
2026-07-20,155.0,125.0
2026-07-21,155.0,125.0
2026-07-22,155.0,125.0
2026-07-23,155.0,125.0
2026-07-24,145.0,125.0
2026-07-27,155.0,125.0
2026-07-28,155.0,125.0
2026-07-29,155.0,125.0
2026-07-30,155.0,125.0
2026-07-31,155.0,125.0
2026-08-03,155.0,125.0
2026-08-04,155.0,125.0
2026-08-05,155.0,141.0
2026-08-06,155.0,141.0
2026-08-07,155.0,141.0
2026-08-10,155.0,141.0
2026-08-11,155.0,141.0
2026-08-12,155.0,141.0
2026-08-13,155.0,141.0
2026-08-14,155.0,147.0
2026-08-17,155.0,147.0
2026-08-18,160.0,147.0
2026-08-19,160.0,147.0
2026-08-20,155.0,147.0
2026-08-21,160.0,147.0
2026-08-24,160.0,130.0
2026-08-25,160.0,130.0
2026-08-26,160.0,130.0
2026-08-27,150.0,140.0
2026-08-28,155.0,140.0
2026-08-31,160.0,140.0
2026-09-01,160.0,140.0
2026-09-02,160.0,145.0
2026-09-03,160.0,150.0
2026-09-04,160.0,150.0
2026-09-08,160.0,157.5
2026-09-09,160.0,130.0
2026-09-10,139.0,130.0
2026-09-11,180.0,143.0
2026-09-14,160.0,150.0
2026-09-15,180.0,135.0
2026-09-16,180.0,135.0
2026-09-17,160.0,130.0
2026-09-18,155.0,130.0
2026-09-21,155.0,115.0
2026-09-22,145.0,115.0
2026-09-23,130.0,115.0
2026-09-24,130.0,115.0
