Date,CallWall,PutWall
2026-06-26,95.0,85.0
2026-06-29,95.0,85.0
2026-06-30,95.0,85.0
2026-07-01,95.0,85.0
2026-07-02,95.0,85.0
2026-07-06,95.0,85.0
2026-07-07,95.0,85.0
2026-07-08,95.0,85.0
2026-07-09,95.0,85.0
2026-07-10,95.0,85.0
2026-07-13,95.0,85.0
2026-07-14,95.0,85.0
2026-07-15,95.0,85.0
2026-07-16,95.0,85.0
2026-07-17,95.0,93.0
2026-07-20,95.0,90.0
2026-07-21,95.0,90.0
2026-07-22,95.0,90.0
2026-07-23,95.0,90.0
2026-07-24,95.0,90.0
2026-07-27,95.0,85.0
2026-07-28,100.0,85.0
2026-07-29,95.0,85.0
2026-07-30,95.0,85.0
2026-07-31,92.5,91.0
2026-08-03,92.5,85.0
2026-08-04,95.0,92.0
2026-08-05,95.0,92.0
2026-08-06,95.0,92.0
2026-08-07,95.0,92.0
2026-08-10,95.0,85.0
2026-08-11,92.5,92.0
2026-08-12,92.5,85.0
2026-08-13,92.5,92.0
2026-08-14,92.5,92.0
2026-08-17,92.5,80.0
2026-08-18,92.5,80.0
2026-08-19,92.5,80.0
2026-08-20,92.5,80.0
2026-08-21,92.5,90.0
2026-08-24,95.0,80.0
2026-08-25,95.0,80.0
2026-08-26,95.0,80.0
2026-08-27,95.0,89.0
2026-08-28,95.0,89.0
2026-08-31,95.0,80.0
2026-09-01,95.0,80.0
2026-09-02,95.0,80.0
2026-09-03,95.0,80.0
2026-09-04,90.0,89.0
2026-09-07,95.0,80.0
2026-09-08,95.0,80.0
2026-09-09,95.0,80.0
2026-09-10,95.0,80.0
2026-09-11,95.0,80.0
2026-09-14,89.0,87.5
2026-09-15,89.0,80.0
2026-09-16,90.0,85.0
2026-09-17,90.0,87.5
2026-09-18,89.0,87.5
2026-09-21,89.0,85.0
2026-09-22,89.0,85.0
2026-09-23,89.0,85.0
2026-09-24,89.0,85.0
