Date,CallWall,PutWall
2026-06-26,12.0,9.0
2026-06-29,12.0,9.0
2026-06-30,12.0,9.0
2026-07-01,10.0,9.0
2026-07-02,10.0,9.5
2026-07-06,10.0,9.0
2026-07-07,10.0,9.0
2026-07-08,10.0,9.0
2026-07-09,10.0,9.0
2026-07-10,12.0,9.0
2026-07-13,12.0,8.0
2026-07-14,12.0,8.0
2026-07-15,12.0,8.0
2026-07-16,12.0,8.0
2026-07-17,10.0,9.0
2026-07-20,11.0,8.0
2026-07-21,11.0,8.0
2026-07-22,11.0,8.0
2026-07-23,11.0,8.0
2026-07-24,12.0,11.5
2026-07-27,13.0,8.0
2026-07-28,13.0,8.0
2026-07-29,12.0,10.0
2026-07-30,12.0,8.0
2026-07-31,12.0,11.5
2026-08-03,12.0,10.0
2026-08-04,12.0,8.0
2026-08-05,12.0,10.0
2026-08-06,12.0,13.5
2026-08-07,12.0,13.5
2026-08-10,13.0,13.5
2026-08-11,12.5,13.5
2026-08-12,12.5,13.5
2026-08-13,13.0,13.5
2026-08-14,12.0,8.0
2026-08-17,12.0,8.0
2026-08-18,12.0,8.0
2026-08-19,12.0,13.5
2026-08-20,12.0,7.0
2026-08-21,11.0,10.5
2026-08-24,13.0,11.0
2026-08-25,13.0,10.5
2026-08-26,12.0,11.0
2026-08-27,12.0,11.0
2026-08-28,12.0,11.5
2026-08-31,12.0,12.5
2026-09-01,12.0,11.0
2026-09-02,12.0,11.0
2026-09-03,12.0,11.0
2026-09-04,12.5,11.5
2026-09-07,12.0,10.0
2026-09-08,12.0,11.5
2026-09-09,12.0,10.0
2026-09-10,12.0,11.5
2026-09-11,12.0,11.5
2026-09-14,12.0,11.5
2026-09-15,12.0,11.0
2026-09-16,12.0,11.0
2026-09-17,13.0,11.0
2026-09-18,13.0,12.0
2026-09-21,13.0,11.0
2026-09-22,13.0,11.0
2026-09-23,13.0,11.0
2026-09-24,13.0,11.0
