Date,CallWall,PutWall
2026-06-26,25.0,22.5
2026-06-29,25.0,22.5
2026-06-30,25.0,22.5
2026-07-01,25.0,22.5
2026-07-02,25.0,22.5
2026-07-06,25.0,22.5
2026-07-07,25.0,22.5
2026-07-08,25.0,22.5
2026-07-09,25.0,22.5
2026-07-10,25.0,20.0
2026-07-13,25.0,20.0
2026-07-14,25.0,20.0
2026-07-15,25.0,20.0
2026-07-16,25.0,20.0
2026-07-17,24.0,20.0
2026-07-20,26.0,20.0
2026-07-21,26.0,20.0
2026-07-22,24.0,20.0
2026-07-23,24.0,20.0
2026-07-24,24.0,22.5
2026-07-27,24.0,20.0
2026-07-28,24.0,20.0
2026-07-29,24.0,20.0
2026-07-30,24.0,20.0
2026-07-31,24.0,20.0
2026-08-03,24.0,20.0
2026-08-04,24.0,20.0
2026-08-05,24.0,20.0
2026-08-06,25.0,20.0
2026-08-07,25.5,20.0
2026-08-10,26.0,20.0
2026-08-11,26.0,20.0
2026-08-12,26.0,20.0
2026-08-13,26.0,20.0
2026-08-14,26.0,20.0
2026-08-17,26.0,20.0
2026-08-18,26.0,20.0
2026-08-19,26.0,20.0
2026-08-20,26.0,20.0
2026-08-21,27.0,20.0
2026-08-24,30.0,20.0
2026-08-25,30.0,22.5
2026-08-26,27.5,20.0
2026-08-27,27.5,25.5
2026-08-28,27.0,22.5
2026-08-31,27.5,22.5
2026-09-01,27.5,22.5
2026-09-02,27.5,25.5
2026-09-03,27.5,25.5
2026-09-04,27.5,25.5
2026-09-08,27.5,22.5
2026-09-09,30.0,22.5
2026-09-10,25.0,25.5
2026-09-11,25.0,24.0
2026-09-14,26.0,24.0
2026-09-15,26.0,24.0
2026-09-16,25.0,24.0
2026-09-17,25.0,22.5
2026-09-18,26.0,22.5
2026-09-21,27.0,22.5
2026-09-22,23.5,22.5
2026-09-23,22.0,22.5
2026-09-24,23.5,22.5
