Date,CallWall,PutWall
2026-06-26,270.0,220.0
2026-06-29,270.0,220.0
2026-06-30,270.0,220.0
2026-07-01,270.0,220.0
2026-07-02,237.5,220.0
2026-07-06,270.0,220.0
2026-07-07,260.0,220.0
2026-07-08,270.0,220.0
2026-07-09,270.0,220.0
2026-07-10,240.0,230.0
2026-07-13,270.0,230.0
2026-07-14,260.0,230.0
2026-07-15,260.0,230.0
2026-07-16,260.0,230.0
2026-07-17,255.0,240.0
2026-07-20,255.0,230.0
2026-07-21,255.0,230.0
2026-07-22,255.0,230.0
2026-07-23,255.0,230.0
2026-07-24,255.0,250.0
2026-07-27,255.0,247.5
2026-07-28,265.0,247.5
2026-07-29,265.0,247.5
2026-07-30,265.0,247.5
2026-07-31,267.5,247.5
2026-08-03,280.0,247.5
2026-08-04,270.0,247.5
2026-08-05,270.0,265.0
2026-08-06,270.0,265.0
2026-08-07,270.0,247.5
2026-08-10,275.0,265.0
2026-08-11,270.0,265.0
2026-08-12,265.0,260.0
2026-08-13,265.0,260.0
2026-08-14,270.0,260.0
2026-08-17,280.0,265.0
2026-08-18,280.0,265.0
2026-08-19,280.0,265.0
2026-08-20,275.0,272.5
2026-08-21,275.0,272.5
2026-08-24,280.0,265.0
2026-08-25,280.0,265.0
2026-08-26,280.0,265.0
2026-08-27,280.0,265.0
2026-08-28,290.0,265.0
2026-08-31,280.0,260.0
2026-09-01,280.0,282.5
2026-09-02,280.0,282.5
2026-09-03,280.0,282.5
2026-09-04,280.0,282.5
2026-09-07,280.0,287.5
2026-09-08,280.0,277.5
2026-09-09,280.0,260.0
2026-09-10,280.0,260.0
2026-09-11,280.0,270.0
2026-09-14,280.0,270.0
2026-09-15,280.0,270.0
2026-09-16,280.0,270.0
2026-09-17,280.0,270.0
2026-09-18,280.0,275.0
2026-09-21,290.0,270.0
2026-09-22,290.0,270.0
2026-09-23,280.0,270.0
2026-09-24,290.0,270.0
