Date,CallWall,PutWall
2026-06-26,33.0,27.5
2026-06-29,33.0,27.5
2026-06-30,33.0,27.5
2026-07-01,35.0,27.5
2026-07-02,35.0,27.5
2026-07-06,35.0,27.5
2026-07-07,35.0,32.5
2026-07-08,34.0,27.5
2026-07-09,35.0,32.5
2026-07-10,35.0,27.5
2026-07-13,37.5,27.5
2026-07-14,37.0,27.5
2026-07-15,35.0,27.5
2026-07-16,35.0,27.5
2026-07-17,35.0,34.5
2026-07-20,40.0,33.5
2026-07-21,34.5,33.5
2026-07-22,34.5,31.5
2026-07-23,35.0,31.5
2026-07-24,35.0,31.5
2026-07-27,35.0,26.0
2026-07-28,35.0,26.0
2026-07-29,35.0,26.0
2026-07-30,40.0,26.0
2026-07-31,38.0,26.0
2026-08-03,40.0,26.0
2026-08-04,36.0,26.0
2026-08-05,37.0,34.5
2026-08-06,37.0,34.0
2026-08-07,35.0,33.0
2026-08-10,35.0,33.0
2026-08-11,35.0,31.5
2026-08-12,35.0,33.0
2026-08-13,35.0,31.5
2026-08-14,34.0,33.0
2026-08-17,35.0,33.0
2026-08-18,35.0,33.0
2026-08-19,35.0,33.0
2026-08-20,35.0,33.0
2026-08-21,37.0,33.0
2026-08-24,40.0,29.0
2026-08-25,40.0,29.0
2026-08-26,40.0,29.0
2026-08-27,40.0,29.0
2026-08-28,40.0,29.0
2026-08-31,40.0,29.0
2026-09-01,40.0,29.0
2026-09-02,40.0,29.0
2026-09-03,40.0,37.5
2026-09-04,40.0,29.0
2026-09-07,40.0,29.0
2026-09-08,40.0,29.0
2026-09-09,40.0,29.0
2026-09-10,40.0,29.0
2026-09-11,40.0,35.0
2026-09-14,40.0,35.0
2026-09-15,40.0,35.0
2026-09-16,40.0,35.0
2026-09-17,40.0,33.5
2026-09-18,40.0,32.5
2026-09-21,37.5,35.0
2026-09-22,37.5,35.0
2026-09-23,37.5,33.0
2026-09-24,37.5,31.5
