Date,CallWall,PutWall
2026-06-26,44.0,41.0
2026-06-29,44.0,41.0
2026-06-30,44.0,41.0
2026-07-01,44.0,41.0
2026-07-02,44.0,41.0
2026-07-06,44.0,43.0
2026-07-07,44.0,41.0
2026-07-08,44.0,43.0
2026-07-09,44.0,41.0
2026-07-10,42.0,40.0
2026-07-13,44.0,43.0
2026-07-14,42.0,43.0
2026-07-15,42.0,43.0
2026-07-16,42.0,43.0
2026-07-17,42.0,43.0
2026-07-20,42.0,39.0
2026-07-21,42.0,40.0
2026-07-22,42.0,39.0
2026-07-23,45.0,39.0
2026-07-24,45.0,43.0
2026-07-27,42.0,43.0
2026-07-28,45.0,43.0
2026-07-29,42.0,43.0
2026-07-30,42.0,39.0
2026-07-31,42.0,39.0
2026-08-03,42.0,39.0
2026-08-04,42.0,40.0
2026-08-05,42.0,39.0
2026-08-06,42.0,39.0
2026-08-07,42.0,39.0
2026-08-10,42.0,39.0
2026-08-11,42.0,39.0
2026-08-12,42.0,39.0
2026-08-13,42.0,39.0
2026-08-14,42.0,39.0
2026-08-17,42.0,39.0
2026-08-18,42.0,39.0
2026-08-19,42.0,39.0
2026-08-20,42.0,39.0
2026-08-21,42.0,39.0
2026-08-24,42.0,39.0
2026-08-25,42.0,39.0
2026-08-26,42.0,39.0
2026-08-27,42.0,39.0
2026-08-28,42.0,39.0
2026-08-31,42.0,39.0
2026-09-01,42.0,39.0
2026-09-02,42.0,39.0
2026-09-03,42.0,39.0
2026-09-04,40.0,39.0
2026-09-07,40.0,39.0
2026-09-08,40.0,39.0
2026-09-09,40.0,39.0
2026-09-10,40.0,39.0
2026-09-11,40.0,39.0
2026-09-14,40.0,39.0
2026-09-15,40.0,38.0
2026-09-16,40.0,38.0
2026-09-17,40.0,39.0
2026-09-18,40.0,38.0
2026-09-21,40.0,38.0
2026-09-22,40.0,38.0
2026-09-23,40.0,38.0
2026-09-24,40.0,38.0
