Date,CallWall,PutWall
2026-06-26,107.0,105.0
2026-06-29,120.0,105.0
2026-06-30,106.0,105.0
2026-07-01,106.0,105.0
2026-07-02,104.0,95.0
2026-07-06,104.0,95.0
2026-07-07,106.0,95.0
2026-07-08,120.0,95.0
2026-07-09,108.0,110.0
2026-07-10,108.0,105.0
2026-07-13,120.0,105.0
2026-07-14,120.0,105.0
2026-07-15,120.0,110.0
2026-07-16,120.0,105.0
2026-07-17,115.0,105.0
2026-07-20,115.0,105.0
2026-07-21,115.0,105.0
2026-07-22,120.0,105.0
2026-07-23,120.0,105.0
2026-07-24,120.0,105.0
2026-07-27,115.0,105.0
2026-07-28,115.0,105.0
2026-07-29,120.0,105.0
2026-07-30,130.0,105.0
2026-07-31,120.0,110.0
2026-08-03,125.0,110.0
2026-08-04,125.0,110.0
2026-08-05,120.0,110.0
2026-08-06,120.0,110.0
2026-08-07,120.0,118.0
2026-08-10,125.0,111.0
2026-08-11,125.0,111.0
2026-08-12,125.0,115.0
2026-08-13,125.0,111.0
2026-08-14,125.0,121.0
2026-08-17,125.0,121.0
2026-08-18,130.0,121.0
2026-08-19,130.0,121.0
2026-08-20,135.0,110.0
2026-08-21,135.0,110.0
2026-08-24,130.0,121.0
2026-08-25,140.0,131.0
2026-08-26,130.0,126.0
2026-08-27,130.0,126.0
2026-08-28,134.0,126.0
2026-08-31,130.0,126.0
2026-09-01,140.0,126.0
2026-09-02,140.0,126.0
2026-09-03,140.0,126.0
2026-09-04,130.0,126.0
2026-09-07,130.0,129.0
2026-09-08,140.0,133.0
2026-09-09,140.0,133.0
2026-09-10,140.0,133.0
2026-09-11,140.0,128.0
2026-09-14,140.0,128.0
2026-09-15,140.0,128.0
2026-09-16,134.0,128.0
2026-09-17,134.0,128.0
2026-09-18,134.0,130.0
2026-09-21,135.0,128.0
2026-09-22,135.0,128.0
2026-09-23,135.0,128.0
2026-09-24,140.0,125.0
