Date,CallWall,PutWall
2026-06-26,90.0,75.0
2026-06-29,90.0,75.0
2026-06-30,90.0,75.0
2026-07-01,90.0,75.0
2026-07-02,90.0,75.0
2026-07-06,90.0,75.0
2026-07-07,90.0,75.0
2026-07-08,90.0,75.0
2026-07-09,90.0,75.0
2026-07-10,100.0,75.0
2026-07-13,100.0,75.0
2026-07-14,100.0,75.0
2026-07-15,100.0,75.0
2026-07-16,100.0,75.0
2026-07-17,90.0,70.0
2026-07-20,80.0,70.0
2026-07-21,80.0,75.0
2026-07-22,80.0,75.0
2026-07-23,80.0,75.0
2026-07-24,80.0,75.0
2026-07-27,80.0,75.0
2026-07-28,80.0,75.0
2026-07-29,80.0,75.0
2026-07-30,80.0,75.0
2026-07-31,79.0,75.0
2026-08-03,80.0,75.0
2026-08-04,83.0,75.0
2026-08-05,90.0,75.0
2026-08-06,90.0,75.0
2026-08-07,90.0,75.0
2026-08-10,90.0,75.0
2026-08-11,90.0,75.0
2026-08-12,90.0,75.0
2026-08-13,90.0,84.0
2026-08-14,100.0,84.0
2026-08-17,100.0,87.0
2026-08-18,100.0,75.0
2026-08-19,100.0,87.0
2026-08-20,90.0,87.0
2026-08-21,95.0,75.0
2026-08-24,100.0,80.0
2026-08-25,100.0,80.0
2026-08-26,100.0,80.0
2026-08-27,100.0,95.0
2026-08-28,100.0,86.0
2026-08-31,100.0,85.0
2026-09-01,100.0,85.0
2026-09-02,100.0,85.0
2026-09-03,100.0,85.0
2026-09-04,100.0,85.0
2026-09-08,100.0,85.0
2026-09-09,100.0,85.0
2026-09-10,100.0,89.0
2026-09-11,90.0,88.0
2026-09-14,100.0,85.0
2026-09-15,90.0,85.0
2026-09-16,90.0,85.0
2026-09-17,90.0,86.0
2026-09-18,88.0,86.0
2026-09-21,90.0,83.0
2026-09-22,90.0,80.0
2026-09-23,90.0,83.0
2026-09-24,90.0,84.0
