Date,CallWall,PutWall
2026-06-26,960.0,950.0
2026-06-29,1000.0,920.0
2026-06-30,1000.0,920.0
2026-07-01,1000.0,920.0
2026-07-02,950.0,900.0
2026-07-06,1000.0,900.0
2026-07-07,1000.0,900.0
2026-07-08,1000.0,945.0
2026-07-09,965.0,910.0
2026-07-10,970.0,910.0
2026-07-13,970.0,900.0
2026-07-14,950.0,900.0
2026-07-15,950.0,900.0
2026-07-16,950.0,900.0
2026-07-17,940.0,935.0
2026-07-20,950.0,900.0
2026-07-21,950.0,900.0
2026-07-22,950.0,910.0
2026-07-23,940.0,910.0
2026-07-24,935.0,932.5
2026-07-27,970.0,900.0
2026-07-28,970.0,900.0
2026-07-29,970.0,955.0
2026-07-30,970.0,955.0
2026-07-31,960.0,955.0
2026-08-03,1000.0,900.0
2026-08-04,970.0,900.0
2026-08-05,970.0,925.0
2026-08-06,960.0,925.0
2026-08-07,950.0,900.0
2026-08-10,970.0,900.0
2026-08-11,950.0,935.0
2026-08-12,950.0,935.0
2026-08-13,960.0,935.0
2026-08-14,960.0,900.0
2026-08-17,970.0,920.0
2026-08-18,970.0,920.0
2026-08-19,970.0,930.0
2026-08-20,1000.0,930.0
2026-08-21,1000.0,945.0
2026-08-24,1000.0,930.0
2026-08-25,1000.0,930.0
2026-08-26,1000.0,930.0
2026-08-27,1000.0,930.0
2026-08-28,942.5,930.0
2026-08-31,955.0,930.0
2026-09-01,1000.0,930.0
2026-09-02,950.0,910.0
2026-09-03,940.0,920.0
2026-09-04,950.0,915.0
2026-09-07,940.0,910.0
2026-09-08,940.0,910.0
2026-09-09,950.0,910.0
2026-09-10,950.0,910.0
2026-09-11,950.0,900.0
2026-09-14,940.0,900.0
2026-09-15,945.0,900.0
2026-09-16,950.0,900.0
2026-09-17,950.0,900.0
2026-09-18,950.0,900.0
2026-09-21,930.0,900.0
2026-09-22,945.0,880.0
2026-09-23,945.0,890.0
2026-09-24,945.0,880.0
