Date,CallWall,PutWall
2026-06-26,157.5,150.0
2026-06-29,162.5,150.0
2026-06-30,162.5,150.0
2026-07-01,162.5,150.0
2026-07-02,167.5,150.0
2026-07-06,170.0,165.0
2026-07-07,170.0,165.0
2026-07-08,170.0,165.0
2026-07-09,170.0,165.0
2026-07-10,180.0,165.0
2026-07-13,170.0,165.0
2026-07-14,170.0,165.0
2026-07-15,170.0,165.0
2026-07-16,170.0,165.0
2026-07-17,170.0,165.0
2026-07-20,180.0,165.0
2026-07-21,180.0,165.0
2026-07-22,180.0,165.0
2026-07-23,180.0,155.0
2026-07-24,180.0,162.5
2026-07-27,180.0,165.0
2026-07-28,180.0,165.0
2026-07-29,190.0,170.0
2026-07-30,180.0,165.0
2026-07-31,182.5,165.0
2026-08-03,180.0,165.0
2026-08-04,200.0,165.0
2026-08-05,200.0,165.0
2026-08-06,180.0,165.0
2026-08-07,190.0,182.5
2026-08-10,200.0,190.0
2026-08-11,200.0,190.0
2026-08-12,200.0,190.0
2026-08-13,200.0,190.0
2026-08-14,200.0,165.0
2026-08-17,175.0,165.0
2026-08-18,200.0,165.0
2026-08-19,210.0,165.0
2026-08-20,210.0,170.0
2026-08-21,210.0,170.0
2026-08-24,210.0,170.0
2026-08-25,210.0,190.0
2026-08-26,220.0,190.0
2026-08-27,250.0,190.0
2026-08-28,260.0,240.0
2026-08-31,260.0,240.0
2026-09-01,260.0,240.0
2026-09-02,260.0,240.0
2026-09-03,270.0,255.0
2026-09-04,260.0,255.0
2026-09-08,260.0,240.0
2026-09-09,260.0,240.0
2026-09-10,250.0,240.0
2026-09-11,250.0,247.5
2026-09-14,260.0,240.0
2026-09-15,260.0,240.0
2026-09-16,260.0,240.0
2026-09-17,250.0,240.0
2026-09-18,270.0,240.0
2026-09-21,245.0,230.0
2026-09-22,245.0,230.0
2026-09-23,245.0,230.0
2026-09-24,245.0,230.0
