Date,CallWall,PutWall
2026-06-26,120.0,115.0
2026-06-29,120.0,115.0
2026-06-30,120.0,117.0
2026-07-01,120.0,117.0
2026-07-02,120.0,113.0
2026-07-06,120.0,115.0
2026-07-07,120.0,115.0
2026-07-08,120.0,115.0
2026-07-09,120.0,115.0
2026-07-10,120.0,115.0
2026-07-13,120.0,115.0
2026-07-14,120.0,115.0
2026-07-15,120.0,110.0
2026-07-16,130.0,110.0
2026-07-17,120.0,113.0
2026-07-20,120.0,110.0
2026-07-21,120.0,110.0
2026-07-22,120.0,110.0
2026-07-23,120.0,110.0
2026-07-24,114.0,112.0
2026-07-27,120.0,110.0
2026-07-28,120.0,110.0
2026-07-29,120.0,110.0
2026-07-30,120.0,110.0
2026-07-31,120.0,110.0
2026-08-03,120.0,110.0
2026-08-04,120.0,110.0
2026-08-05,122.0,110.0
2026-08-06,120.0,110.0
2026-08-07,122.0,121.0
2026-08-10,130.0,110.0
2026-08-11,130.0,110.0
2026-08-12,130.0,110.0
2026-08-13,120.0,110.0
2026-08-14,120.0,110.0
2026-08-17,120.0,110.0
2026-08-18,115.0,110.0
2026-08-19,115.0,110.0
2026-08-20,120.0,110.0
2026-08-21,112.0,110.0
2026-08-24,115.0,105.0
2026-08-25,115.0,105.0
2026-08-26,115.0,105.0
2026-08-27,115.0,105.0
2026-08-28,115.0,110.0
2026-08-31,115.0,105.0
2026-09-01,115.0,105.0
2026-09-02,115.0,105.0
2026-09-03,115.0,109.0
2026-09-04,110.0,109.0
2026-09-08,111.0,105.0
2026-09-09,111.0,105.0
2026-09-10,111.0,105.0
2026-09-11,112.0,105.0
2026-09-14,115.0,105.0
2026-09-15,115.0,105.0
2026-09-16,115.0,110.0
2026-09-17,113.0,110.0
2026-09-18,109.0,110.0
2026-09-21,115.0,105.0
2026-09-22,115.0,105.0
2026-09-23,109.0,105.0
2026-09-24,109.0,105.0
