Date,CallWall,PutWall
2026-06-26,47.5,41.0
2026-06-29,50.0,41.0
2026-06-30,47.5,41.0
2026-07-01,50.0,41.0
2026-07-02,50.0,41.0
2026-07-06,50.0,42.5
2026-07-07,50.0,42.5
2026-07-08,49.0,42.5
2026-07-09,49.0,42.5
2026-07-10,49.0,42.5
2026-07-13,50.0,42.5
2026-07-14,50.0,42.5
2026-07-15,50.0,42.5
2026-07-16,51.0,42.5
2026-07-17,50.0,42.5
2026-07-20,51.0,46.5
2026-07-21,51.0,45.0
2026-07-22,51.0,42.5
2026-07-23,53.0,48.0
2026-07-24,53.0,50.0
2026-07-27,52.5,50.0
2026-07-28,52.0,50.0
2026-07-29,52.0,50.0
2026-07-30,52.0,50.0
2026-07-31,52.0,50.0
2026-08-03,52.0,50.0
2026-08-04,52.0,50.0
2026-08-05,52.0,50.0
2026-08-06,52.0,50.0
2026-08-07,52.5,50.0
2026-08-10,52.5,50.0
2026-08-11,52.5,50.0
2026-08-12,51.0,50.0
2026-08-13,52.0,50.0
2026-08-14,52.5,50.0
2026-08-17,52.5,50.0
2026-08-18,52.5,50.0
2026-08-19,52.5,50.0
2026-08-20,52.0,49.0
2026-08-21,52.0,50.0
2026-08-24,52.0,49.0
2026-08-25,52.0,49.0
2026-08-26,52.0,49.0
2026-08-27,52.0,49.0
2026-08-28,52.0,49.0
2026-08-31,52.5,45.0
2026-09-01,52.5,45.0
2026-09-02,52.5,47.5
2026-09-03,52.5,47.5
2026-09-04,52.5,47.5
2026-09-07,52.5,47.5
2026-09-08,52.5,47.5
2026-09-09,52.5,47.5
2026-09-10,50.0,47.5
2026-09-11,52.5,47.5
2026-09-14,52.5,47.5
2026-09-15,52.5,47.5
2026-09-16,52.5,47.5
2026-09-17,48.5,47.5
2026-09-18,48.5,47.5
2026-09-21,52.5,47.5
2026-09-22,50.0,47.5
2026-09-23,50.0,47.5
2026-09-24,50.0,47.5
