Date,CallWall,PutWall
2026-06-26,85.0,75.0
2026-06-29,85.0,75.0
2026-06-30,85.0,75.0
2026-07-01,85.0,75.0
2026-07-02,85.0,75.0
2026-07-06,85.0,75.0
2026-07-07,90.0,75.0
2026-07-08,85.0,75.0
2026-07-09,85.0,75.0
2026-07-10,85.0,75.0
2026-07-13,90.0,75.0
2026-07-14,85.0,75.0
2026-07-15,85.0,75.0
2026-07-16,90.0,75.0
2026-07-17,90.0,75.0
2026-07-20,90.0,75.0
2026-07-21,90.0,75.0
2026-07-22,90.0,75.0
2026-07-23,90.0,75.0
2026-07-24,90.0,75.0
2026-07-27,90.0,75.0
2026-07-28,90.0,70.0
2026-07-29,90.0,75.0
2026-07-30,90.0,70.0
2026-07-31,90.0,75.0
2026-08-03,90.0,75.0
2026-08-04,90.0,75.0
2026-08-05,85.0,75.0
2026-08-06,90.0,75.0
2026-08-07,90.0,75.0
2026-08-10,90.0,75.0
2026-08-11,90.0,75.0
2026-08-12,90.0,75.0
2026-08-13,90.0,75.0
2026-08-14,80.0,75.0
2026-08-17,80.0,75.0
2026-08-18,80.0,75.0
2026-08-19,80.0,75.0
2026-08-20,80.0,75.0
2026-08-21,90.0,75.0
2026-08-24,90.0,75.0
2026-08-25,90.0,75.0
2026-08-26,90.0,75.0
2026-08-27,90.0,75.0
2026-08-28,90.0,75.0
2026-08-31,90.0,75.0
2026-09-01,90.0,75.0
2026-09-02,90.0,75.0
2026-09-03,90.0,75.0
2026-09-04,90.0,75.0
2026-09-07,90.0,85.0
2026-09-08,90.0,75.0
2026-09-09,90.0,75.0
2026-09-10,90.0,75.0
2026-09-11,85.0,75.0
2026-09-14,85.0,75.0
2026-09-15,85.0,75.0
2026-09-16,85.0,75.0
2026-09-17,85.0,75.0
2026-09-18,85.0,80.0
2026-09-21,85.0,75.0
2026-09-22,85.0,75.0
2026-09-23,85.0,75.0
2026-09-24,85.0,75.0
