Date,CallWall,PutWall
2026-06-26,105.0,97.5
2026-06-29,105.0,97.5
2026-06-30,105.0,97.5
2026-07-01,105.0,102.0
2026-07-02,105.0,103.0
2026-07-06,105.0,97.5
2026-07-07,105.0,97.5
2026-07-08,105.0,97.5
2026-07-09,105.0,97.5
2026-07-10,105.0,98.0
2026-07-13,110.0,97.5
2026-07-14,110.0,97.5
2026-07-15,110.0,97.5
2026-07-16,110.0,97.5
2026-07-17,110.0,106.0
2026-07-20,110.0,97.5
2026-07-21,110.0,97.5
2026-07-22,112.0,97.5
2026-07-23,110.0,106.0
2026-07-24,110.0,106.0
2026-07-27,110.0,97.5
2026-07-28,110.0,97.5
2026-07-29,110.0,97.5
2026-07-30,110.0,97.5
2026-07-31,110.0,104.0
2026-08-03,110.0,92.5
2026-08-04,110.0,97.5
2026-08-05,110.0,97.5
2026-08-06,100.0,95.0
2026-08-07,97.0,95.0
2026-08-10,100.0,92.5
2026-08-11,110.0,92.5
2026-08-12,110.0,92.5
2026-08-13,110.0,92.5
2026-08-14,97.0,97.5
2026-08-17,110.0,92.5
2026-08-18,97.0,92.5
2026-08-19,96.0,92.5
2026-08-20,100.0,92.5
2026-08-21,100.0,92.5
2026-08-24,100.0,92.0
2026-08-25,100.0,92.0
2026-08-26,100.0,92.0
2026-08-27,100.0,92.0
2026-08-28,100.0,93.0
2026-08-31,100.0,90.0
2026-09-01,100.0,97.5
2026-09-02,100.0,97.5
2026-09-03,100.0,97.0
2026-09-04,100.0,97.0
2026-09-07,100.0,92.5
2026-09-08,100.0,97.5
2026-09-09,100.0,97.5
2026-09-10,100.0,93.0
2026-09-11,100.0,93.0
2026-09-14,100.0,95.0
2026-09-15,96.0,95.0
2026-09-16,95.0,92.5
2026-09-17,100.0,91.0
2026-09-18,89.0,91.0
2026-09-21,97.5,85.0
2026-09-22,97.5,86.0
2026-09-23,97.5,86.0
2026-09-24,89.0,86.0
