Date,CallWall,PutWall
2026-06-26,175.0,170.0
2026-06-29,175.0,170.0
2026-06-30,175.0,165.0
2026-07-01,172.5,165.0
2026-07-02,180.0,165.0
2026-07-06,172.5,165.0
2026-07-07,172.5,167.5
2026-07-08,177.5,167.5
2026-07-09,172.5,167.5
2026-07-10,175.0,170.0
2026-07-13,185.0,170.0
2026-07-14,185.0,170.0
2026-07-15,185.0,170.0
2026-07-16,185.0,170.0
2026-07-17,187.5,170.0
2026-07-20,200.0,170.0
2026-07-21,200.0,170.0
2026-07-22,205.0,170.0
2026-07-23,200.0,170.0
2026-07-24,195.0,170.0
2026-07-27,205.0,187.5
2026-07-28,205.0,187.5
2026-07-29,205.0,187.5
2026-07-30,205.0,187.5
2026-07-31,205.0,187.5
2026-08-03,205.0,187.5
2026-08-04,205.0,187.5
2026-08-05,205.0,187.5
2026-08-06,205.0,187.5
2026-08-07,205.0,187.5
2026-08-10,200.0,182.5
2026-08-11,200.0,182.5
2026-08-12,200.0,187.5
2026-08-13,200.0,180.0
2026-08-14,200.0,180.0
2026-08-17,205.0,180.0
2026-08-18,205.0,180.0
2026-08-19,205.0,180.0
2026-08-20,205.0,202.5
2026-08-21,205.0,202.5
2026-08-24,215.0,180.0
2026-08-25,215.0,180.0
2026-08-26,215.0,195.0
2026-08-27,215.0,195.0
2026-08-28,210.0,180.0
2026-08-31,215.0,197.5
2026-09-01,215.0,180.0
2026-09-02,215.0,197.5
2026-09-03,215.0,180.0
2026-09-04,215.0,207.5
2026-09-07,215.0,207.5
2026-09-08,215.0,207.5
2026-09-09,215.0,207.5
2026-09-10,215.0,207.5
2026-09-11,215.0,212.5
2026-09-14,210.0,212.5
2026-09-15,220.0,212.5
2026-09-16,210.0,212.5
2026-09-17,210.0,212.5
2026-09-18,210.0,207.5
2026-09-21,210.0,200.0
2026-09-22,210.0,200.0
2026-09-23,210.0,200.0
2026-09-24,210.0,200.0
