Date,CallWall,PutWall
2026-06-26,630.0,577.5
2026-06-29,660.0,577.5
2026-06-30,660.0,577.5
2026-07-01,660.0,577.5
2026-07-02,660.0,577.5
2026-07-06,660.0,577.5
2026-07-07,660.0,577.5
2026-07-08,660.0,577.5
2026-07-09,600.0,577.5
2026-07-10,600.0,577.5
2026-07-13,600.0,577.5
2026-07-14,600.0,577.5
2026-07-15,600.0,577.5
2026-07-16,600.0,577.5
2026-07-17,600.0,577.5
2026-07-20,605.0,540.0
2026-07-21,620.0,590.0
2026-07-22,620.0,540.0
2026-07-23,600.0,540.0
2026-07-24,630.0,625.0
2026-07-27,620.0,597.5
2026-07-28,650.0,540.0
2026-07-29,620.0,597.5
2026-07-30,620.0,597.5
2026-07-31,610.0,595.0
2026-08-03,620.0,540.0
2026-08-04,610.0,540.0
2026-08-05,620.0,600.0
2026-08-06,615.0,600.0
2026-08-07,620.0,600.0
2026-08-10,630.0,600.0
2026-08-11,630.0,600.0
2026-08-12,630.0,600.0
2026-08-13,630.0,600.0
2026-08-14,680.0,600.0
2026-08-17,680.0,600.0
2026-08-18,680.0,600.0
2026-08-19,680.0,570.0
2026-08-20,630.0,620.0
2026-08-21,645.0,600.0
2026-08-24,680.0,600.0
2026-08-25,650.0,600.0
2026-08-26,650.0,600.0
2026-08-27,680.0,600.0
2026-08-28,630.0,600.0
2026-08-31,680.0,590.0
2026-09-01,680.0,615.0
2026-09-02,680.0,637.5
2026-09-03,680.0,637.5
2026-09-04,695.0,637.5
2026-09-07,700.0,615.0
2026-09-08,700.0,615.0
2026-09-09,680.0,615.0
2026-09-10,680.0,600.0
2026-09-11,680.0,610.0
2026-09-14,700.0,650.0
2026-09-15,700.0,650.0
2026-09-16,700.0,650.0
2026-09-17,700.0,650.0
2026-09-18,680.0,650.0
2026-09-21,700.0,650.0
2026-09-22,700.0,650.0
2026-09-23,720.0,650.0
2026-09-24,720.0,650.0
