Date,CallWall,PutWall
2026-06-26,450.0,395.0
2026-06-29,450.0,380.0
2026-06-30,450.0,380.0
2026-07-01,450.0,385.0
2026-07-02,450.0,395.0
2026-07-06,450.0,355.0
2026-07-07,450.0,400.0
2026-07-08,450.0,400.0
2026-07-09,450.0,400.0
2026-07-10,440.0,400.0
2026-07-13,450.0,400.0
2026-07-14,500.0,405.0
2026-07-15,450.0,405.0
2026-07-16,420.0,405.0
2026-07-17,410.0,402.5
2026-07-20,450.0,370.0
2026-07-21,450.0,370.0
2026-07-22,450.0,380.0
2026-07-23,450.0,380.0
2026-07-24,450.0,437.5
2026-07-27,450.0,380.0
2026-07-28,405.0,380.0
2026-07-29,450.0,350.0
2026-07-30,450.0,382.5
2026-07-31,410.0,350.0
2026-08-03,450.0,370.0
2026-08-04,485.0,370.0
2026-08-05,500.0,400.0
2026-08-06,500.0,437.5
2026-08-07,500.0,445.0
2026-08-10,500.0,400.0
2026-08-11,500.0,400.0
2026-08-12,500.0,430.0
2026-08-13,500.0,400.0
2026-08-14,500.0,485.0
2026-08-17,500.0,460.0
2026-08-18,500.0,460.0
2026-08-19,450.0,460.0
2026-08-20,450.0,425.0
2026-08-21,450.0,435.0
2026-08-24,450.0,420.0
2026-08-25,450.0,420.0
2026-08-26,450.0,420.0
2026-08-27,450.0,445.0
2026-08-28,400.0,445.0
2026-08-31,450.0,460.0
2026-09-01,450.0,460.0
2026-09-02,500.0,425.0
2026-09-03,500.0,460.0
2026-09-04,520.0,460.0
2026-09-08,600.0,460.0
2026-09-09,600.0,490.0
2026-09-10,550.0,500.0
2026-09-11,560.0,480.0
2026-09-14,600.0,500.0
2026-09-15,600.0,500.0
2026-09-16,600.0,500.0
2026-09-17,600.0,500.0
2026-09-18,572.5,565.0
2026-09-21,600.0,605.0
2026-09-22,600.0,500.0
2026-09-23,600.0,540.0
2026-09-24,600.0,530.0
