Date,CallWall,PutWall
2026-06-26,120.0,110.0
2026-06-29,120.0,110.0
2026-06-30,120.0,110.0
2026-07-01,120.0,115.0
2026-07-02,120.0,115.0
2026-07-06,120.0,110.0
2026-07-07,120.0,110.0
2026-07-08,120.0,110.0
2026-07-09,120.0,110.0
2026-07-10,120.0,110.0
2026-07-13,120.0,115.0
2026-07-14,120.0,100.0
2026-07-15,120.0,100.0
2026-07-16,125.0,100.0
2026-07-17,125.0,120.0
2026-07-20,130.0,120.0
2026-07-21,130.0,120.0
2026-07-22,130.0,120.0
2026-07-23,130.0,117.0
2026-07-24,117.0,118.0
2026-07-27,130.0,115.0
2026-07-28,125.0,115.0
2026-07-29,130.0,120.0
2026-07-30,130.0,120.0
2026-07-31,125.0,120.0
2026-08-03,135.0,120.0
2026-08-04,135.0,120.0
2026-08-05,135.0,120.0
2026-08-06,131.0,120.0
2026-08-07,131.0,127.0
2026-08-10,124.0,120.0
2026-08-11,124.0,120.0
2026-08-12,124.0,120.0
2026-08-13,124.0,120.0
2026-08-14,124.0,120.0
2026-08-17,130.0,120.0
2026-08-18,130.0,120.0
2026-08-19,130.0,120.0
2026-08-20,125.0,120.0
2026-08-21,124.0,120.0
2026-08-24,140.0,120.0
2026-08-25,140.0,120.0
2026-08-26,140.0,120.0
2026-08-27,132.0,120.0
2026-08-28,124.0,120.0
2026-08-31,130.0,120.0
2026-09-01,130.0,120.0
2026-09-02,135.0,120.0
2026-09-03,135.0,120.0
2026-09-04,135.0,120.0
2026-09-07,140.0,120.0
2026-09-08,130.0,120.0
2026-09-09,130.0,120.0
2026-09-10,130.0,120.0
2026-09-11,126.0,120.0
2026-09-14,125.0,120.0
2026-09-15,125.0,120.0
2026-09-16,125.0,120.0
2026-09-17,125.0,120.0
2026-09-18,124.0,120.0
2026-09-21,125.0,120.0
2026-09-22,125.0,120.0
2026-09-23,125.0,120.0
2026-09-24,125.0,120.0
