Date,CallWall,PutWall
2026-06-26,200.0,192.5
2026-06-29,200.0,192.5
2026-06-30,197.5,192.5
2026-07-01,197.5,192.5
2026-07-02,197.5,192.5
2026-07-06,200.0,165.0
2026-07-07,200.0,165.0
2026-07-08,200.0,165.0
2026-07-09,200.0,165.0
2026-07-10,200.0,165.0
2026-07-13,200.0,165.0
2026-07-14,200.0,165.0
2026-07-15,200.0,190.0
2026-07-16,200.0,165.0
2026-07-17,205.0,192.5
2026-07-20,200.0,192.5
2026-07-21,200.0,192.5
2026-07-22,200.0,182.5
2026-07-23,200.0,192.5
2026-07-24,200.0,187.5
2026-07-27,200.0,160.0
2026-07-28,200.0,190.0
2026-07-29,200.0,190.0
2026-07-30,200.0,190.0
2026-07-31,200.0,192.5
2026-08-03,200.0,190.0
2026-08-04,200.0,197.5
2026-08-05,200.0,197.5
2026-08-06,200.0,197.5
2026-08-07,205.0,197.5
2026-08-10,200.0,197.5
2026-08-11,200.0,197.5
2026-08-12,200.0,202.5
2026-08-13,200.0,202.5
2026-08-14,200.0,202.5
2026-08-17,200.0,197.5
2026-08-18,200.0,197.5
2026-08-19,220.0,160.0
2026-08-20,220.0,160.0
2026-08-21,220.0,160.0
2026-08-24,220.0,170.0
2026-08-25,220.0,170.0
2026-08-26,220.0,212.5
2026-08-27,220.0,215.0
2026-08-28,220.0,212.5
2026-08-31,220.0,175.0
2026-09-01,220.0,175.0
2026-09-02,220.0,207.5
2026-09-03,220.0,207.5
2026-09-04,220.0,207.5
2026-09-07,220.0,207.5
2026-09-08,220.0,205.0
2026-09-09,210.0,202.5
2026-09-10,210.0,202.5
2026-09-11,205.0,190.0
2026-09-14,210.0,190.0
2026-09-15,210.0,195.0
2026-09-16,210.0,207.5
2026-09-17,210.0,200.0
2026-09-18,210.0,200.0
2026-09-21,215.0,205.0
2026-09-22,215.0,205.0
2026-09-23,217.5,205.0
2026-09-24,230.0,205.0
