Date,CallWall,PutWall
2026-06-26,517.0,520.0
2026-06-29,530.0,517.0
2026-06-30,530.0,522.0
2026-07-01,530.0,522.0
2026-07-02,530.0,522.0
2026-07-06,530.0,520.0
2026-07-07,530.0,520.0
2026-07-08,530.0,520.0
2026-07-09,530.0,525.0
2026-07-10,530.0,525.0
2026-07-13,530.0,521.0
2026-07-14,530.0,521.0
2026-07-15,530.0,521.0
2026-07-16,530.0,521.0
2026-07-17,525.0,521.0
2026-07-20,525.0,520.0
2026-07-21,525.0,520.0
2026-07-22,525.0,520.0
2026-07-23,525.0,520.0
2026-07-24,525.0,520.0
2026-07-27,525.0,518.0
2026-07-28,535.0,518.0
2026-07-29,525.0,517.5
2026-07-30,525.0,518.0
2026-07-31,525.0,515.0
2026-08-03,535.0,522.0
2026-08-04,537.0,522.0
2026-08-05,550.0,522.0
2026-08-06,537.0,540.0
2026-08-07,537.0,522.0
2026-08-10,545.0,533.0
2026-08-11,550.0,533.0
2026-08-12,539.0,533.0
2026-08-13,539.0,533.0
2026-08-14,545.0,537.0
2026-08-17,545.0,535.0
2026-08-18,545.0,534.0
2026-08-19,545.0,534.0
2026-08-20,545.0,528.0
2026-08-21,532.0,534.0
2026-08-24,545.0,528.0
2026-08-25,540.0,532.0
2026-08-26,540.0,532.0
2026-08-27,540.0,532.0
2026-08-28,540.0,534.0
2026-08-31,545.0,530.0
2026-09-01,545.0,532.0
2026-09-02,545.0,532.0
2026-09-03,540.0,532.0
2026-09-04,540.0,533.0
2026-09-08,540.0,530.0
2026-09-09,529.0,525.0
2026-09-10,537.0,510.0
2026-09-11,526.0,510.0
2026-09-14,545.0,520.0
2026-09-15,550.0,510.0
2026-09-16,550.0,510.0
2026-09-17,520.0,510.0
2026-09-18,525.0,516.0
2026-09-21,525.0,500.0
2026-09-22,522.0,500.0
2026-09-23,516.0,500.0
2026-09-24,516.0,510.0
