Date,CallWall,PutWall
2026-06-26,210.0,180.0
2026-06-29,200.0,180.0
2026-06-30,210.0,180.0
2026-07-01,200.0,180.0
2026-07-02,210.0,180.0
2026-07-06,200.0,180.0
2026-07-07,200.0,180.0
2026-07-08,187.5,180.0
2026-07-09,200.0,180.0
2026-07-10,200.0,180.0
2026-07-13,210.0,180.0
2026-07-14,210.0,180.0
2026-07-15,210.0,180.0
2026-07-16,210.0,180.0
2026-07-17,210.0,175.0
2026-07-20,190.0,170.0
2026-07-21,190.0,170.0
2026-07-22,185.0,170.0
2026-07-23,185.0,172.5
2026-07-24,200.0,172.5
2026-07-27,200.0,172.5
2026-07-28,200.0,172.5
2026-07-29,200.0,172.5
2026-07-30,200.0,172.5
2026-07-31,195.0,190.0
2026-08-03,200.0,187.5
2026-08-04,200.0,187.5
2026-08-05,200.0,187.5
2026-08-06,200.0,187.5
2026-08-07,200.0,187.5
2026-08-10,200.0,187.5
2026-08-11,200.0,187.5
2026-08-12,200.0,187.5
2026-08-13,200.0,187.5
2026-08-14,200.0,185.0
2026-08-17,200.0,185.0
2026-08-18,195.0,185.0
2026-08-19,195.0,185.0
2026-08-20,195.0,185.0
2026-08-21,195.0,185.0
2026-08-24,195.0,185.0
2026-08-25,195.0,185.0
2026-08-26,195.0,185.0
2026-08-27,195.0,185.0
2026-08-28,195.0,185.0
2026-08-31,195.0,185.0
2026-09-01,195.0,185.0
2026-09-02,195.0,185.0
2026-09-03,195.0,185.0
2026-09-04,195.0,185.0
2026-09-07,195.0,185.0
2026-09-08,195.0,185.0
2026-09-09,195.0,185.0
2026-09-10,195.0,185.0
2026-09-11,195.0,190.0
2026-09-14,195.0,185.0
2026-09-15,195.0,185.0
2026-09-16,195.0,185.0
2026-09-17,195.0,185.0
2026-09-18,195.0,185.0
2026-09-21,200.0,180.0
2026-09-22,185.0,180.0
2026-09-23,185.0,180.0
2026-09-24,185.0,180.0
