Date,CallWall,PutWall
2026-06-26,125.0,119.0
2026-06-29,120.0,125.0
2026-06-30,120.0,125.0
2026-07-01,120.0,125.0
2026-07-02,135.0,125.0
2026-07-06,120.0,125.0
2026-07-07,120.0,125.0
2026-07-08,120.0,125.0
2026-07-09,120.0,125.0
2026-07-10,120.0,130.0
2026-07-13,135.0,130.0
2026-07-14,120.0,130.0
2026-07-15,135.0,130.0
2026-07-16,135.0,130.0
2026-07-17,120.0,125.0
2026-07-20,125.0,130.0
2026-07-21,125.0,130.0
2026-07-22,125.0,130.0
2026-07-23,125.0,130.0
2026-07-24,125.0,130.0
2026-07-27,125.0,130.0
2026-07-28,125.0,130.0
2026-07-29,125.0,130.0
2026-07-30,125.0,130.0
2026-07-31,125.0,130.0
2026-08-03,125.0,130.0
2026-08-04,125.0,130.0
2026-08-05,125.0,130.0
2026-08-06,125.0,130.0
2026-08-07,125.0,130.0
2026-08-10,125.0,130.0
2026-08-11,125.0,130.0
2026-08-12,125.0,130.0
2026-08-13,125.0,130.0
2026-08-14,125.0,130.0
2026-08-17,125.0,130.0
2026-08-18,145.0,130.0
2026-08-19,145.0,130.0
2026-08-20,125.0,130.0
2026-08-21,145.0,130.0
2026-08-24,145.0,120.0
2026-08-25,145.0,120.0
2026-08-26,145.0,120.0
2026-08-27,130.0,124.0
2026-08-28,130.0,120.0
2026-08-31,130.0,120.0
2026-09-01,145.0,128.0
2026-09-02,145.0,128.0
2026-09-03,130.0,128.0
2026-09-04,130.0,128.0
2026-09-07,145.0,128.0
2026-09-08,130.0,120.0
2026-09-09,130.0,120.0
2026-09-10,130.0,120.0
2026-09-11,130.0,120.0
2026-09-14,130.0,120.0
2026-09-15,145.0,120.0
2026-09-16,130.0,110.0
2026-09-17,130.0,120.0
2026-09-18,130.0,113.0
2026-09-21,130.0,110.0
2026-09-22,130.0,110.0
2026-09-23,130.0,110.0
2026-09-24,130.0,110.0
