Date,CallWall,PutWall
2026-06-26,50.0,42.5
2026-06-29,50.0,40.0
2026-06-30,50.0,40.0
2026-07-01,50.0,40.0
2026-07-02,50.0,40.0
2026-07-06,50.0,40.0
2026-07-07,50.0,40.0
2026-07-08,50.0,40.0
2026-07-09,50.0,42.0
2026-07-10,45.0,42.0
2026-07-13,45.0,40.0
2026-07-14,45.0,40.0
2026-07-15,45.0,42.5
2026-07-16,45.0,42.5
2026-07-17,45.0,40.0
2026-07-20,45.0,40.0
2026-07-21,45.0,40.0
2026-07-22,45.0,40.0
2026-07-23,45.0,40.0
2026-07-24,45.0,40.0
2026-07-27,45.0,40.0
2026-07-28,45.0,40.0
2026-07-29,45.0,40.0
2026-07-30,45.0,43.0
2026-07-31,45.0,40.0
2026-08-03,50.0,40.0
2026-08-04,45.0,40.0
2026-08-05,45.0,40.0
2026-08-06,45.0,43.0
2026-08-07,45.0,43.0
2026-08-10,45.0,41.5
2026-08-11,45.0,44.0
2026-08-12,45.0,44.0
2026-08-13,45.0,43.0
2026-08-14,47.5,44.0
2026-08-17,47.5,40.0
2026-08-18,47.5,40.0
2026-08-19,47.5,45.0
2026-08-20,50.0,48.5
2026-08-21,50.0,40.0
2026-08-24,47.5,48.0
2026-08-25,47.5,48.0
2026-08-26,47.5,48.0
2026-08-27,47.5,48.0
2026-08-28,47.5,45.0
2026-08-31,47.5,45.0
2026-09-01,47.5,45.0
2026-09-02,47.5,45.0
2026-09-03,47.5,45.0
2026-09-04,47.5,45.0
2026-09-07,47.5,45.0
2026-09-08,47.5,45.0
2026-09-09,47.5,45.0
2026-09-10,47.5,47.0
2026-09-11,50.0,47.5
2026-09-14,47.5,40.0
2026-09-15,50.0,40.0
2026-09-16,50.0,47.5
2026-09-17,50.0,47.5
2026-09-18,50.0,49.0
2026-09-21,50.0,40.0
2026-09-22,47.5,40.0
2026-09-23,47.5,40.0
2026-09-24,50.0,48.0
