Date,CallWall,PutWall
2026-06-26,120.0,108.0
2026-06-29,120.0,100.0
2026-06-30,120.0,100.0
2026-07-01,120.0,100.0
2026-07-02,115.0,90.0
2026-07-06,120.0,90.0
2026-07-07,120.0,111.0
2026-07-08,120.0,111.0
2026-07-09,120.0,105.0
2026-07-10,120.0,116.0
2026-07-13,120.0,116.0
2026-07-14,120.0,108.0
2026-07-15,115.0,116.0
2026-07-16,115.0,108.0
2026-07-17,115.0,110.0
2026-07-20,130.0,110.0
2026-07-21,130.0,110.0
2026-07-22,115.0,110.0
2026-07-23,115.0,110.0
2026-07-24,130.0,110.0
2026-07-27,130.0,114.0
2026-07-28,130.0,114.0
2026-07-29,117.0,113.0
2026-07-30,130.0,114.0
2026-07-31,130.0,113.0
2026-08-03,115.0,114.0
2026-08-04,117.0,114.0
2026-08-05,117.0,114.0
2026-08-06,110.0,105.0
2026-08-07,112.0,106.0
2026-08-10,115.0,105.0
2026-08-11,115.0,102.0
2026-08-12,105.0,102.0
2026-08-13,105.0,102.0
2026-08-14,105.0,104.0
2026-08-17,105.0,100.0
2026-08-18,105.0,97.5
2026-08-19,105.0,100.0
2026-08-20,105.0,97.5
2026-08-21,105.0,100.0
2026-08-24,110.0,100.0
2026-08-25,110.0,100.0
2026-08-26,110.0,97.5
2026-08-27,110.0,101.0
2026-08-28,105.0,100.0
2026-08-31,110.0,100.0
2026-09-01,110.0,100.0
2026-09-02,110.0,107.0
2026-09-03,110.0,104.0
2026-09-04,110.0,104.0
2026-09-07,110.0,100.0
2026-09-08,110.0,106.0
2026-09-09,108.0,106.0
2026-09-10,108.0,103.0
2026-09-11,108.0,106.0
2026-09-14,108.0,107.0
2026-09-15,108.0,107.0
2026-09-16,108.0,100.0
2026-09-17,115.0,100.0
2026-09-18,115.0,100.0
2026-09-21,115.0,110.0
2026-09-22,112.0,110.0
2026-09-23,112.0,110.0
2026-09-24,112.0,108.0
