Date,CallWall,PutWall
2026-06-26,110.0,100.0
2026-06-29,110.0,100.0
2026-06-30,110.0,100.0
2026-07-01,110.0,100.0
2026-07-02,115.0,105.0
2026-07-06,110.0,100.0
2026-07-07,115.0,100.0
2026-07-08,110.0,100.0
2026-07-09,110.0,100.0
2026-07-10,110.0,95.0
2026-07-13,110.0,95.0
2026-07-14,110.0,95.0
2026-07-15,110.0,95.0
2026-07-16,110.0,105.0
2026-07-17,115.0,95.0
2026-07-20,115.0,95.0
2026-07-21,115.0,95.0
2026-07-22,115.0,95.0
2026-07-23,115.0,95.0
2026-07-24,115.0,95.0
2026-07-27,115.0,95.0
2026-07-28,115.0,95.0
2026-07-29,115.0,95.0
2026-07-30,110.0,95.0
2026-07-31,110.0,95.0
2026-08-03,110.0,95.0
2026-08-04,110.0,95.0
2026-08-05,110.0,95.0
2026-08-06,110.0,95.0
2026-08-07,110.0,95.0
2026-08-10,110.0,95.0
2026-08-11,110.0,105.0
2026-08-12,110.0,105.0
2026-08-13,110.0,105.0
2026-08-14,110.0,105.0
2026-08-17,110.0,95.0
2026-08-18,110.0,105.0
2026-08-19,110.0,105.0
2026-08-20,110.0,105.0
2026-08-21,110.0,105.0
2026-08-24,105.0,100.0
2026-08-25,105.0,100.0
2026-08-26,105.0,100.0
2026-08-27,105.0,100.0
2026-08-28,105.0,100.0
2026-08-31,105.0,100.0
2026-09-01,110.0,100.0
2026-09-02,110.0,100.0
2026-09-03,110.0,100.0
2026-09-04,110.0,100.0
2026-09-07,110.0,100.0
2026-09-08,110.0,105.0
2026-09-09,110.0,100.0
2026-09-10,110.0,100.0
2026-09-11,110.0,100.0
2026-09-14,110.0,100.0
2026-09-15,105.0,100.0
2026-09-16,110.0,105.0
2026-09-17,110.0,105.0
2026-09-18,110.0,105.0
2026-09-21,105.0,100.0
2026-09-22,105.0,100.0
2026-09-23,105.0,100.0
2026-09-24,105.0,100.0
