Date,CallWall,PutWall
2026-06-26,75.0,67.5
2026-06-29,75.0,67.5
2026-06-30,75.0,67.5
2026-07-01,75.0,67.5
2026-07-02,75.0,67.5
2026-07-06,75.0,67.5
2026-07-07,75.0,67.5
2026-07-08,75.0,70.0
2026-07-09,75.0,70.0
2026-07-10,75.0,70.0
2026-07-13,75.0,70.0
2026-07-14,75.0,70.0
2026-07-15,77.5,70.0
2026-07-16,77.5,70.0
2026-07-17,77.5,70.0
2026-07-20,85.0,70.0
2026-07-21,80.0,70.0
2026-07-22,85.0,70.0
2026-07-23,85.0,70.0
2026-07-24,85.0,70.0
2026-07-27,80.0,70.0
2026-07-28,85.0,70.0
2026-07-29,85.0,70.0
2026-07-30,85.0,70.0
2026-07-31,80.0,70.0
2026-08-03,77.5,72.5
2026-08-04,80.0,72.5
2026-08-05,85.0,65.0
2026-08-06,75.0,65.0
2026-08-07,75.0,65.0
2026-08-10,70.0,65.0
2026-08-11,70.0,65.0
2026-08-12,70.0,65.0
2026-08-13,70.0,65.0
2026-08-14,70.0,67.5
2026-08-17,70.0,67.5
2026-08-18,72.5,67.5
2026-08-19,77.5,67.5
2026-08-20,77.5,67.5
2026-08-21,72.5,67.5
2026-08-24,77.5,67.5
2026-08-25,77.5,67.5
2026-08-26,77.5,67.5
2026-08-27,77.5,67.5
2026-08-28,75.0,67.5
2026-08-31,72.5,55.0
2026-09-01,75.0,55.0
2026-09-02,70.0,55.0
2026-09-03,72.5,55.0
2026-09-04,60.0,55.0
2026-09-07,60.0,55.0
2026-09-08,60.0,55.0
2026-09-09,60.0,55.0
2026-09-10,60.0,55.0
2026-09-11,60.0,55.0
2026-09-14,60.0,55.0
2026-09-15,60.0,55.0
2026-09-16,60.0,55.0
2026-09-17,60.0,55.0
2026-09-18,60.0,55.0
2026-09-21,60.0,65.0
2026-09-22,60.0,65.0
2026-09-23,55.0,50.0
2026-09-24,55.0,50.0
