Date,CallWall,PutWall
2026-06-26,95.0,75.0
2026-06-29,95.0,75.0
2026-06-30,95.0,75.0
2026-07-01,90.0,75.0
2026-07-02,85.0,75.0
2026-07-06,90.0,75.0
2026-07-07,90.0,75.0
2026-07-08,90.0,75.0
2026-07-09,80.0,75.0
2026-07-10,90.0,75.0
2026-07-13,90.0,75.0
2026-07-14,90.0,75.0
2026-07-15,90.0,75.0
2026-07-16,90.0,75.0
2026-07-17,85.0,80.0
2026-07-20,90.0,75.0
2026-07-21,90.0,75.0
2026-07-22,90.0,75.0
2026-07-23,90.0,78.0
2026-07-24,90.0,75.0
2026-07-27,90.0,75.0
2026-07-28,90.0,75.0
2026-07-29,90.0,75.0
2026-07-30,90.0,75.0
2026-07-31,83.0,75.0
2026-08-03,90.0,75.0
2026-08-04,90.0,75.0
2026-08-05,90.0,75.0
2026-08-06,90.0,75.0
2026-08-07,90.0,75.0
2026-08-10,90.0,75.0
2026-08-11,90.0,75.0
2026-08-12,90.0,75.0
2026-08-13,90.0,75.0
2026-08-14,90.0,80.0
2026-08-17,90.0,80.0
2026-08-18,90.0,80.0
2026-08-19,100.0,80.0
2026-08-20,100.0,80.0
2026-08-21,100.0,80.0
2026-08-24,100.0,80.0
2026-08-25,110.0,101.0
2026-08-26,110.0,101.0
2026-08-27,110.0,101.0
2026-08-28,105.0,101.0
2026-08-31,105.0,99.0
2026-09-01,105.0,99.0
2026-09-02,105.0,99.0
2026-09-03,105.0,99.0
2026-09-04,105.0,99.0
2026-09-07,105.0,99.0
2026-09-08,105.0,99.0
2026-09-09,100.0,99.0
2026-09-10,100.0,97.0
2026-09-11,100.0,97.0
2026-09-14,100.0,99.0
2026-09-15,100.0,99.0
2026-09-16,100.0,80.0
2026-09-17,100.0,80.0
2026-09-18,95.0,80.0
2026-09-21,100.0,65.0
2026-09-22,100.0,75.0
2026-09-23,100.0,65.0
2026-09-24,100.0,65.0
