Date,CallWall,PutWall
2026-06-26,400.0,370.0
2026-06-29,400.0,370.0
2026-06-30,400.0,370.0
2026-07-01,400.0,370.0
2026-07-02,400.0,370.0
2026-07-06,400.0,370.0
2026-07-07,420.0,370.0
2026-07-08,420.0,370.0
2026-07-09,420.0,370.0
2026-07-10,420.0,370.0
2026-07-13,450.0,360.0
2026-07-14,450.0,370.0
2026-07-15,430.0,370.0
2026-07-16,390.0,370.0
2026-07-17,380.0,370.0
2026-07-20,430.0,360.0
2026-07-21,430.0,360.0
2026-07-22,430.0,360.0
2026-07-23,390.0,360.0
2026-07-24,390.0,360.0
2026-07-27,390.0,360.0
2026-07-28,390.0,360.0
2026-07-29,390.0,360.0
2026-07-30,390.0,360.0
2026-07-31,390.0,360.0
2026-08-03,390.0,360.0
2026-08-04,390.0,360.0
2026-08-05,390.0,360.0
2026-08-06,390.0,360.0
2026-08-07,390.0,360.0
2026-08-10,390.0,360.0
2026-08-11,390.0,360.0
2026-08-12,390.0,360.0
2026-08-13,390.0,360.0
2026-08-14,420.0,360.0
2026-08-17,420.0,360.0
2026-08-18,420.0,360.0
2026-08-19,420.0,360.0
2026-08-20,400.0,360.0
2026-08-21,400.0,360.0
2026-08-24,420.0,360.0
2026-08-25,420.0,360.0
2026-08-26,420.0,360.0
2026-08-27,420.0,360.0
2026-08-28,420.0,360.0
2026-08-31,420.0,360.0
2026-09-01,420.0,360.0
2026-09-02,420.0,360.0
2026-09-03,420.0,360.0
2026-09-04,420.0,360.0
2026-09-07,420.0,360.0
2026-09-08,420.0,380.0
2026-09-09,420.0,380.0
2026-09-10,420.0,390.0
2026-09-11,420.0,360.0
2026-09-14,420.0,380.0
2026-09-15,420.0,360.0
2026-09-16,420.0,360.0
2026-09-17,420.0,380.0
2026-09-18,410.0,380.0
2026-09-21,390.0,400.0
2026-09-22,410.0,400.0
2026-09-23,410.0,400.0
2026-09-24,410.0,400.0
