Date,CallWall,PutWall
2026-06-26,150.0,130.0
2026-06-29,150.0,130.0
2026-06-30,150.0,130.0
2026-07-01,150.0,130.0
2026-07-02,150.0,130.0
2026-07-06,150.0,130.0
2026-07-07,150.0,130.0
2026-07-08,150.0,130.0
2026-07-09,145.0,130.0
2026-07-10,150.0,130.0
2026-07-13,155.0,130.0
2026-07-14,155.0,130.0
2026-07-15,155.0,130.0
2026-07-16,140.0,135.0
2026-07-17,150.0,130.0
2026-07-20,155.0,135.0
2026-07-21,155.0,135.0
2026-07-22,155.0,135.0
2026-07-23,155.0,135.0
2026-07-24,155.0,135.0
2026-07-27,155.0,135.0
2026-07-28,155.0,148.0
2026-07-29,155.0,135.0
2026-07-30,155.0,148.0
2026-07-31,155.0,148.0
2026-08-03,155.0,135.0
2026-08-04,155.0,149.0
2026-08-05,155.0,149.0
2026-08-06,157.5,152.5
2026-08-07,160.0,162.5
2026-08-10,155.0,135.0
2026-08-11,165.0,135.0
2026-08-12,165.0,135.0
2026-08-13,165.0,135.0
2026-08-14,170.0,130.0
2026-08-17,170.0,130.0
2026-08-18,170.0,130.0
2026-08-19,155.0,130.0
2026-08-20,155.0,130.0
2026-08-21,155.0,130.0
2026-08-24,170.0,130.0
2026-08-25,155.0,130.0
2026-08-26,155.0,130.0
2026-08-27,170.0,130.0
2026-08-28,155.0,130.0
2026-08-31,155.0,130.0
2026-09-01,155.0,130.0
2026-09-02,155.0,130.0
2026-09-03,155.0,130.0
2026-09-04,155.0,130.0
2026-09-07,155.0,130.0
2026-09-08,155.0,130.0
2026-09-09,155.0,130.0
2026-09-10,155.0,130.0
2026-09-11,155.0,140.0
2026-09-14,155.0,140.0
2026-09-15,155.0,130.0
2026-09-16,155.0,147.0
2026-09-17,152.5,147.0
2026-09-18,152.5,140.0
2026-09-21,152.5,140.0
2026-09-22,152.5,140.0
2026-09-23,152.5,140.0
2026-09-24,152.5,140.0
