Date,CallWall,PutWall
2026-06-26,145.0,133.0
2026-06-29,145.0,135.0
2026-06-30,155.0,125.0
2026-07-01,155.0,125.0
2026-07-02,133.0,125.0
2026-07-06,155.0,125.0
2026-07-07,155.0,135.0
2026-07-08,145.0,135.0
2026-07-09,145.0,135.0
2026-07-10,145.0,135.0
2026-07-13,145.0,135.0
2026-07-14,145.0,135.0
2026-07-15,145.0,135.0
2026-07-16,140.0,135.0
2026-07-17,140.0,135.0
2026-07-20,150.0,120.0
2026-07-21,150.0,120.0
2026-07-22,150.0,120.0
2026-07-23,150.0,120.0
2026-07-24,147.0,120.0
2026-07-27,150.0,120.0
2026-07-28,150.0,120.0
2026-07-29,150.0,120.0
2026-07-30,150.0,143.0
2026-07-31,150.0,135.0
2026-08-03,155.0,120.0
2026-08-04,155.0,120.0
2026-08-05,145.0,120.0
2026-08-06,155.0,135.0
2026-08-07,140.0,135.0
2026-08-10,145.0,135.0
2026-08-11,145.0,135.0
2026-08-12,145.0,135.0
2026-08-13,145.0,137.0
2026-08-14,155.0,125.0
2026-08-17,155.0,125.0
2026-08-18,155.0,125.0
2026-08-19,155.0,125.0
2026-08-20,155.0,125.0
2026-08-21,155.0,125.0
2026-08-24,160.0,125.0
2026-08-25,160.0,125.0
2026-08-26,160.0,125.0
2026-08-27,160.0,125.0
2026-08-28,160.0,143.0
2026-08-31,160.0,125.0
2026-09-01,160.0,130.0
2026-09-02,160.0,125.0
2026-09-03,160.0,143.0
2026-09-04,150.0,143.0
2026-09-07,150.0,130.0
2026-09-08,150.0,125.0
2026-09-09,150.0,135.0
2026-09-10,150.0,130.0
2026-09-11,150.0,130.0
2026-09-14,150.0,135.0
2026-09-15,160.0,135.0
2026-09-16,150.0,135.0
2026-09-17,150.0,135.0
2026-09-18,145.0,143.0
2026-09-21,145.0,135.0
2026-09-22,145.0,135.0
2026-09-23,145.0,135.0
2026-09-24,145.0,135.0
