Date,CallWall,PutWall
2026-06-26,52.0,50.0
2026-06-29,52.0,50.0
2026-06-30,52.0,50.0
2026-07-01,52.0,50.0
2026-07-02,53.0,50.0
2026-07-06,55.0,50.0
2026-07-07,55.0,50.0
2026-07-08,52.0,50.0
2026-07-09,52.0,50.0
2026-07-10,55.0,50.0
2026-07-13,55.0,50.0
2026-07-14,55.0,50.0
2026-07-15,55.0,50.0
2026-07-16,55.0,47.5
2026-07-17,55.0,50.0
2026-07-20,55.0,47.5
2026-07-21,55.0,47.5
2026-07-22,55.0,53.0
2026-07-23,55.0,53.0
2026-07-24,55.0,53.0
2026-07-27,55.0,53.0
2026-07-28,55.0,53.0
2026-07-29,55.0,53.0
2026-07-30,55.0,53.0
2026-07-31,55.0,53.0
2026-08-03,55.0,53.0
2026-08-04,55.0,53.0
2026-08-05,55.0,53.0
2026-08-06,55.0,53.0
2026-08-07,55.0,53.0
2026-08-10,55.0,53.0
2026-08-11,55.0,53.0
2026-08-12,55.0,53.0
2026-08-13,55.0,53.0
2026-08-14,55.0,53.0
2026-08-17,55.0,50.0
2026-08-18,55.0,50.0
2026-08-19,55.0,50.0
2026-08-20,55.0,50.0
2026-08-21,55.0,50.0
2026-08-24,55.0,50.0
2026-08-25,55.0,50.0
2026-08-26,55.0,50.0
2026-08-27,55.0,50.0
2026-08-28,55.0,50.0
2026-08-31,55.0,50.0
2026-09-01,55.0,57.5
2026-09-02,55.0,57.5
2026-09-03,55.0,57.5
2026-09-04,55.0,57.5
2026-09-07,55.0,57.5
2026-09-08,55.0,57.5
2026-09-09,55.0,50.0
2026-09-10,55.0,57.5
2026-09-11,55.0,50.0
2026-09-14,55.0,50.0
2026-09-15,55.0,50.0
2026-09-16,55.0,50.0
2026-09-17,55.0,50.0
2026-09-18,55.0,50.0
2026-09-21,60.0,50.0
2026-09-22,60.0,50.0
2026-09-23,52.0,50.0
2026-09-24,52.0,50.0
