Date,CallWall,PutWall
2026-06-26,410.0,350.0
2026-06-29,430.0,350.0
2026-06-30,430.0,350.0
2026-07-01,430.0,350.0
2026-07-02,430.0,395.0
2026-07-06,430.0,350.0
2026-07-07,430.0,350.0
2026-07-08,430.0,350.0
2026-07-09,430.0,350.0
2026-07-10,410.0,350.0
2026-07-13,430.0,350.0
2026-07-14,430.0,400.0
2026-07-15,430.0,400.0
2026-07-16,410.0,400.0
2026-07-17,410.0,400.0
2026-07-20,410.0,350.0
2026-07-21,410.0,350.0
2026-07-22,410.0,350.0
2026-07-23,410.0,350.0
2026-07-24,405.0,400.0
2026-07-27,430.0,350.0
2026-07-28,430.0,350.0
2026-07-29,430.0,350.0
2026-07-30,430.0,340.0
2026-07-31,430.0,340.0
2026-08-03,440.0,340.0
2026-08-04,440.0,340.0
2026-08-05,440.0,340.0
2026-08-06,450.0,340.0
2026-08-07,450.0,340.0
2026-08-10,450.0,340.0
2026-08-11,470.0,340.0
2026-08-12,470.0,340.0
2026-08-13,470.0,340.0
2026-08-14,500.0,390.0
2026-08-17,500.0,345.0
2026-08-18,440.0,390.0
2026-08-19,440.0,390.0
2026-08-20,440.0,390.0
2026-08-21,440.0,390.0
2026-08-24,440.0,390.0
2026-08-25,440.0,390.0
2026-08-26,440.0,390.0
2026-08-27,440.0,390.0
2026-08-28,440.0,390.0
2026-08-31,440.0,390.0
2026-09-01,440.0,390.0
2026-09-02,405.0,390.0
2026-09-03,405.0,390.0
2026-09-04,440.0,390.0
2026-09-07,440.0,390.0
2026-09-08,440.0,390.0
2026-09-09,440.0,390.0
2026-09-10,440.0,390.0
2026-09-11,440.0,390.0
2026-09-14,440.0,390.0
2026-09-15,440.0,390.0
2026-09-16,440.0,390.0
2026-09-17,440.0,390.0
2026-09-18,420.0,390.0
2026-09-21,450.0,420.0
2026-09-22,450.0,420.0
2026-09-23,450.0,420.0
2026-09-24,450.0,420.0
