Date,CallWall,PutWall
2026-06-26,49.0,43.0
2026-06-29,49.0,43.0
2026-06-30,49.0,43.0
2026-07-01,49.0,45.0
2026-07-02,49.0,43.0
2026-07-06,49.0,43.0
2026-07-07,49.0,43.0
2026-07-08,49.0,43.0
2026-07-09,49.0,45.0
2026-07-10,49.0,45.0
2026-07-13,49.0,43.0
2026-07-14,49.0,43.0
2026-07-15,49.0,45.0
2026-07-16,49.0,45.0
2026-07-17,46.0,45.0
2026-07-20,50.0,44.0
2026-07-21,50.0,45.0
2026-07-22,50.0,45.0
2026-07-23,50.0,45.0
2026-07-24,50.0,45.0
2026-07-27,50.0,45.0
2026-07-28,50.0,46.0
2026-07-29,50.0,46.0
2026-07-30,50.0,45.0
2026-07-31,50.0,45.0
2026-08-03,47.0,45.0
2026-08-04,47.0,45.0
2026-08-05,47.0,45.0
2026-08-06,47.0,45.0
2026-08-07,47.0,45.0
2026-08-10,47.0,45.0
2026-08-11,47.0,45.0
2026-08-12,47.0,45.0
2026-08-13,47.0,45.0
2026-08-14,47.0,46.0
2026-08-17,47.0,45.0
2026-08-18,47.0,45.0
2026-08-19,47.0,45.0
2026-08-20,47.0,45.0
2026-08-21,50.0,42.0
2026-08-24,50.0,42.0
2026-08-25,46.0,42.0
2026-08-26,46.0,40.0
2026-08-27,46.0,40.0
2026-08-28,46.0,40.0
2026-08-31,46.0,40.0
2026-09-01,46.0,40.0
2026-09-02,46.0,42.0
2026-09-03,46.0,42.0
2026-09-04,46.0,42.0
2026-09-07,46.0,42.0
2026-09-08,46.0,42.0
2026-09-09,46.0,42.0
2026-09-10,46.0,42.0
2026-09-11,46.0,43.0
2026-09-14,46.0,43.0
2026-09-15,46.0,43.0
2026-09-16,46.0,43.0
2026-09-17,46.0,43.0
2026-09-18,45.0,43.0
2026-09-21,45.0,43.0
2026-09-22,45.0,43.0
2026-09-23,44.0,42.0
2026-09-24,44.0,42.0
